rank	target_slug	edge_count	in_count	is_title	is_date	example_source	example_edge_type	example_target_text
1	small-council	1	215	0	0	qyburn	MEMBER_OF	Small council
2	smallfolk	1	204	0	0	ryger-rivers	PARENT_OF	smallfolk
3	blacks	79	138	0	0	alan-beesbury	SWORN_TO	Blacks
4	greens	52	127	0	0	adrian-tarbeck	SWORN_TO	Greens
5	narrow-sea	1	120	0	0	assassination-of-tywin-lannister	DEFEATS	narrow sea
6	valyrian-steel	1	106	0	0	house-celtigar	ANCESTRAL_WEAPON_OF	Valyrian steel
7	209-ac	1	79	0	1	daeron-ii-targaryen	HEIR_TO	209 AC (track_b: Heirs)
8	others	14	76	0	0	chett	SWORN_TO	Others (track_b: Allegiances)
9	130-ac	1	71	0	1	aegon-ii-targaryen	HEIR_TO	130 AC (track_b: Heirs)
10	unsullied	17	68	0	0	black-fist	SWORN_TO	Unsullied
11	red-fork	3	64	0	0	hoster-tully	BURIED_AT	Red Fork
12	129-ac	1	63	0	1	aegon-ii-targaryen	HEIR_TO	129 AC (track_b: Heirs)
13	house-manderly	23	61	0	0	bartimus	SWORN_TO	House Manderly
14	old-gods	1	61	0	0	seven-kingdoms	WORSHIPS	Old gods (track_b: Religion)
15	dragonpit	6	60	0	0	burning-knight	DIED_AT	Dragonpit (track_b: Died)
16	drogon	1	58	0	0	dreamfyre	PARENT_OF	Drogon (track_b: Issue)
17	alicent-hightower	3	57	0	0	aegon-ii-targaryen	PARENT_OF	Alicent Hightower
18	maegors-holdfast	3	56	0	0	aegon-targaryen-son-of-rhaegar	DIED_AT	Maegor's Holdfast (qualifier: supposedly)
19	kingswood	3	55	0	0	simon-toyne	DIED_AT	Kingswood (track_b: Died)
20	haunted-forest	2	55	0	0	clubfoot-karl	DIED_AT	Haunted forest (track_b: Died)
21	jacaerys-velaryon	3	54	0	0	rhaenyra-targaryen	HEIR_TO	Jacaerys Velaryon
22	starry-sept	3	53	0	0	high-lickspittle	DIED_AT	Starry Sept (track_b: Died)
23	disputed-lands	6	52	0	0	aegor-rivers	DIED_AT	Disputed Lands (track_b: Died)
24	eustace-osgrey	4	51	0	0	addam-osgrey	PARENT_OF	Eustace Osgrey
25	blackwater-bay	6	50	0	0	allard-seaworth	DIED_AT	Blackwater Bay (track_b: Died)
26	aerys-i-targaryen	5	50	0	0	aelinor-penrose	SPOUSE_OF	Aerys I Targaryen
