rank	target_slug	edge_count	in_count	is_title	is_date	example_source	example_edge_type	example_target_text
1	small-council	1	215	0	0	qyburn	MEMBER_OF	Small council
2	blacks	94	138	0	0	addam-velaryon	SWORN_TO	Blacks
3	greens	58	127	0	0	adrian-tarbeck	SWORN_TO	Greens
4	narrow-sea	1	120	0	0	assassination-of-tywin-lannister	DEFEATS	narrow sea
5	others	14	76	0	0	chett	SWORN_TO	Others (track_b: Allegiances)
6	unsullied	17	68	0	0	black-fist	SWORN_TO	Unsullied
7	red-fork	4	64	0	0	hoster-tully	BURIED_AT	Red Fork
8	house-manderly	24	61	0	0	bartimus	SWORN_TO	House Manderly
9	dragonpit	6	60	0	0	burning-knight	DIED_AT	Dragonpit (track_b: Died)
10	harren-hoare	3	56	0	0	halleck-hoare	HEIR_TO	Harren Hoare
11	maegors-holdfast	3	56	0	0	aegon-targaryen-son-of-rhaegar	DIED_AT	Maegor's Holdfast (qualifier: supposedly)
12	kingswood	3	55	0	0	simon-toyne	DIED_AT	Kingswood (track_b: Died)
13	haunted-forest	2	55	0	0	clubfoot-karl	DIED_AT	Haunted forest (track_b: Died)
14	starry-sept	3	53	0	0	high-lickspittle	DIED_AT	Starry Sept (track_b: Died)
15	disputed-lands	6	52	0	0	aegor-rivers	DIED_AT	Disputed Lands (track_b: Died)
16	blackwater-bay	6	50	0	0	allard-seaworth	DIED_AT	Blackwater Bay (track_b: Died)
17	neck	3	50	0	0	coming-of-the-andals	DEFEATS	Neck
18	red-mountains	1	50	0	0	vulture-king-jaehaerys-i	DIED_AT	Red Mountains (track_b: Died)
19	house-blackwood	30	46	0	0	agnes-blackwood	SWORN_TO	House Blackwood
20	iron-bank-of-braavos	2	46	0	0	noho-dimittis	SWORN_TO	Iron Bank of Braavos
21	house-bracken	24	45	0	0	aegor-rivers	SWORN_TO	House Bracken
22	wolfswood	2	45	0	0	harwood-fell	DIED_AT	Wolfswood (track_b: Died)
23	sunset-sea	1	45	0	0	norman-hightower	DIED_AT	Sunset Sea (track_b: Died)
24	mountains-of-the-moon	13	44	0	0	chiggen	DIED_AT	Mountains of the Moon (track_b: Died)
25	fair-isle	6	44	0	0	arron	BORN_AT	Fair Isle
26	stoney-sept	6	44	0	0	bella	BORN_AT	Stoney Sept (track_b: Born)
27	queens-men	18	43	0	0	alester-florent	SWORN_TO	Queen's men
28	old-wyk	6	41	0	0	baelor-blacktyde	DIED_AT	Old Wyk (track_b: Died)
29	crossroads-inn	1	39	0	0	wat-orphan	SWORN_TO	Crossroads inn
30	tarth	6	37	0	0	aemon-targaryen-son-of-jaehaerys-i	DIED_AT	Tarth
31	dornish-marches	4	36	0	0	anguy	BORN_AT	Dornish Marches
32	three-sisters	4	36	0	0	lark	BORN_AT	Three Sisters
33	dothraki-sea	19	35	0	0	caggo	BORN_AT	Dothraki Sea
34	house-rogare	12	35	0	0	drako-rogare	SWORN_TO	House Rogare
35	khal	22	34	1	0	bharbo	HOLDS_TITLE	Khal
36	house-darry	16	34	0	0	damon-darry	SWORN_TO	House Darry
37	century-of-blood	3	34	0	0	agnes-blackwood	DIED_AT	Century of Blood
38	tower-of-the-hand	2	34	0	0	jaehaerys-targaryen-son-of-aegon-ii	DIED_AT	Tower of the Hand (track_b: Died)
39	great-pyramid	1	34	0	0	house-targaryen	SEAT_OF	Great Pyramid
40	house-florent	18	33	0	0	aladore-florent	SWORN_TO	House Florent
41	crackclaw-point	5	33	0	0	dick-crabb	BORN_AT	Crackclaw Point
