rank	target_slug	edge_count	in_count	is_title	is_date	example_source	example_edge_type	example_target_text
1	small-council	1	215	0	0	qyburn	MEMBER_OF	Small council
2	blacks	124	138	0	0	addam-velaryon	SWORN_TO	Blacks
3	greens	75	127	0	0	adrian-tarbeck	SWORN_TO	Greens
4	narrow-sea	1	120	0	0	assassination-of-tywin-lannister	DEFEATS	narrow sea
5	unsullied	17	68	0	0	black-fist	SWORN_TO	Unsullied
6	haunted-forest	2	55	0	0	clubfoot-karl	DIED_AT	Haunted forest (track_b: Died)
7	queens-men	18	43	0	0	alester-florent	SWORN_TO	Queen's men
8	age-of-heroes	1	43	0	0	battle-of-crookwater	FIGHTS_IN	Age of Heroes
9	crossroads-inn	2	39	0	0	masha-heddle	DIED_AT	Crossroads inn (track_b: Died)
10	dothraki-sea	21	35	0	0	caggo	BORN_AT	Dothraki Sea
11	dragons	1	32	0	0	dance-of-the-dragons	DEFEATS	dragons
12	flea-bottom	5	30	0	0	clayton-suggs	BORN_AT	Flea Bottom
13	crypt-of-winterfell	14	29	0	0	barthogan-stark	BURIED_AT	Crypt of Winterfell
14	ruby-ford	1	29	0	0	rhaegar-targaryen	DIED_AT	Ruby Ford (track_b: Died)
15	lords-declarant	7	27	0	0	anya-waynwood	SWORN_TO	Lords Declarant
16	silent-sisters	4	26	0	0	alysanne-osgrey	SWORN_TO	Silent Sisters
17	ship	2	26	0	0	allaquo	SWORN_TO	Ship
18	299-ac	1	24	0	1	house-bolton	OVERLORD_OF	299 AC (track_b: Overlords)
19	betrothal	1	24	0	0	lyonel-baratheons-rebellion	DEFEATS	Betrothal
20	joffrey-i-baratheon	2	22	0	0	robert-i-baratheon	SUCCEEDS	Joffrey I Baratheon
21	queen-of-love-and-beauty	1	22	1	0	lord-ashfords-daughter	HOLDS_TITLE	Queen of Love and Beauty
22	vale	5	21	0	0	battle-in-the-waters-off-gulltown	DEFEATS	Vale
23	two-betrayers	2	21	0	0	hugh-hammer	SWORN_TO	Two Betrayers
24	cinnamon-wind	2	19	0	0	aemon-targaryen-son-of-maekar-i	DIED_AT	Cinnamon Wind
25	tower-of-joy	1	18	0	0	roberts-rebellion	FIGHTS_IN	Tower of joy
26	andal-invasion	3	17	0	0	battle-of-the-seven-stars	FIGHTS_IN	Andal invasion
27	lads	3	16	0	0	alysanne-blackwood	SWORN_TO	Lads
28	282-ac	1	16	0	1	house-baratheon	OVERLORD_OF	282 AC (track_b: Overlords)
29	moon-of-the-three-kings	1	16	0	0	riot-of-kings-landing-dance-of-the-dragons	DEFEATS	Moon of the Three Kings
30	300-ac	1	15	0	1	house-bolton	OVERLORD_OF	300 AC (track_b: Overlords)
31	street-of-silk	1	15	0	0	jory-cassel	DIED_AT	Street of Silk (track_b: Died)
32	bridge-of-skulls	3	12	0	0	aladale-wynch	DIED_AT	Bridge of Skulls (track_b: Died)
33	pirates	2	12	0	0	korra	SWORN_TO	Pirates
34	elephant	1	12	0	0	trianna	SWORN_TO	Elephant
35	winter-wolves	1	12	0	0	roderick-dustin	SWORN_TO	Winter Wolves
36	chatayas-brothel	6	11	0	0	alayaya	SWORN_TO	Chataya's brothel
37	pureborn	4	11	0	0	egon-emeros	SWORN_TO	Pureborn
38	dosh-khaleen	1	11	0	0	one-eyed-crone	SWORN_TO	Dosh khaleen
39	happy-port	6	10	0	0	assadora	SWORN_TO	Happy Port
40	kings-men	5	10	0	0	andrew-estermont	SWORN_TO	King's men
41	submission-of-sunspear	1	10	0	0	conquest-of-dorne	FIGHTS_IN	Submission of Sunspear
42	the-wall	1	10	0	0	harma-dogshead	DIED_AT	The Wall (track_b: Died)
43	king-s-landing	1	9	0	0	bramm-of-blackhull	DIED_AT	King’s Landing (track_b: Died)
44	kings-of-the-reach	1	9	0	0	order-of-the-green-hand	SWORN_TO	Kings of the Reach
45	tommen-i-baratheon	7	8	0	0	boots	OWNS	Tommen I Baratheon
46	undying-ones	2	8	0	0	pyat-pree	SWORN_TO	Undying Ones
47	battle-of-the-red-fork	1	8	0	0	daven-lannister	FIGHTS_IN	Battle of the Red Fork
48	frozen-shore	1	8	0	0	great-walrus	BORN_AT	Frozen Shore
49	gate-of-the-gods	1	8	0	0	lucas-leygood	DIED_AT	Gate of the Gods (track_b: Died)
50	storm-kings	1	8	0	0	battle-of-six-kings	DEFEATS	Storm Kings
51	the-gate	1	8	0	0	izembaro	SWORN_TO	The Gate
52	stone-crows	10	7	0	0	conn	SWORN_TO	Stone Crows
53	house-flint	3	7	0	0	byam-flint	SWORN_TO	House Flint
54	cobblers-square	1	7	0	0	luthor-largent	DIED_AT	Cobbler's Square (track_b: Died)
55	iron-bank	1	7	0	0	bessaro-reyaan	SWORN_TO	Iron Bank
56	lady-of-coldmoat	1	7	1	0	rohanne-webber	HOLDS_TITLE	Lady of Coldmoat
57	pact	1	7	0	0	coming-of-the-andals	DEFEATS	Pact
58	shavepates	1	7	0	0	skahaz-mo-kandaq	SWORN_TO	Shavepates
59	lord-paramount-of-the-mander	8	6	1	0	bertrand-tyrell	HOLDS_TITLE	Lord Paramount of the Mander
60	bastards-boys	3	6	0	0	grunt	SWORN_TO	Bastard's Boys
61	house-fossoway	3	6	0	0	derrick-fossoway	SWORN_TO	House Fossoway
62	high-council-of-the-triarchy	1	6	1	0	triarchy	RULES	High Council of the Triarchy
63	valyrian-peninsula	1	6	0	0	aurion	DIED_AT	Valyrian peninsula (track_b: Died)
64	wedding-of-aegon-iii-targaryen-and-jaehaera-targaryen	1	6	0	0	dance-of-the-dragons	DEFEATS	Wedding of Aegon III Targaryen and Jaehaera Targaryen
65	yunkish	1	6	0	0	crunch	DIED_AT	Yunkish (track_b: Died)
66	artys-arryn	3	5	0	0	robar-ii-royce	SUCCEEDS	Artys Arryn
67	drowned-men	3	5	0	0	emmond	SWORN_TO	Drowned men
68	battle-of-stonebridge	1	5	0	0	faith-militant-uprising	FIGHTS_IN	Battle of Stonebridge
69	lady-of-the-eyrie	1	5	1	0	jeyne-arryn	HOLDS_TITLE	Lady of the Eyrie
70	motherhouse-of-maris	1	5	0	0	jeyne-arryn	DIED_AT	Motherhouse of Maris (track_b: Died)
71	elephants	3	4	0	0	doniphos-paenymion	SWORN_TO	Elephants
72	last-greenseer	3	4	0	0	ash	SWORN_TO	last greenseer
73	tiger	3	4	0	0	belicho	SWORN_TO	Tiger
74	stalwart-shields	2	4	0	0	mollono-yos-dob	SWORN_TO	Stalwart Shields
75	battle-at-the-mander	1	4	0	0	roberts-rebellion	FIGHTS_IN	Battle at the Mander
76	battle-of-the-green-fork	1	4	0	0	bronn	FIGHTS_IN	Battle of the Green Fork
77	battle-of-the-whispering-wood	1	4	0	0	jaime-lannister	FIGHTS_IN	Battle of the Whispering Wood
78	guildhall-of-the-alchemists	1	4	0	0	alchemists-guild	SEAT_OF	Guildhall of the Alchemists
79	lichyard	1	4	0	0	mikken	BURIED_AT	lichyard
80	mothers-men	1	4	0	0	marselen	SWORN_TO	Mother's Men
81	pyntos	1	4	0	0	pynto	SWORN_TO	Pynto's
82	moon-brothers	4	3	0	0	calor	SWORN_TO	Moon Brothers
83	burned-men	2	3	0	0	timett-father	SWORN_TO	Burned Men
84	free-company	1	3	0	0	howard-bullock	SWORN_TO	Free Company
85	oakenseat	1	3	0	0	anarchy-in-the-reach	DEFEATS	Oakenseat
86	old-palace	1	3	0	0	house-martell	SEAT_OF	Old Palace
87	wild-hares	1	3	0	0	benfred-tallhart	SWORN_TO	Wild Hares
88	conflict-beyond-the-wall	6	2	0	0	attack-on-castle-black	FIGHTS_IN	Conflict beyond the Wall
89	great-hall	3	2	0	0	aerys-ii-targaryen	DIED_AT	Great Hall (track_b: Died)
90	daemon-blackfyre	1	2	0	0	house-blackfyre	FOUNDED	Daemon Blackfyre
91	godswife	1	2	0	0	mirri-maz-duur	HOLDS_TITLE	Godswife
92	kingdom-of-the-three-daughters	1	2	0	0	racallio-ryndoon	SWORN_TO	Kingdom of the Three Daughters
93	sarnori	1	2	0	0	mazor-alexi	CULTURE_OF	Sarnori
94	silent-sister	1	2	0	0	maris-baratheon	HOLDS_TITLE	Silent sister
95	slate	1	2	0	0	house-slate	RULES	Slate
96	weirwood-alliance	1	2	0	0	battle-at-black-bog	DEFEATS	Weirwood Alliance
97	lannister	15	1	0	0	battle-at-the-mummers-ford	DEFEATS	Lannister
98	the-vale	9	1	0	0	roland-i-arryn	DIED_AT	the Vale
99	cerelle-lannister	6	1	0	0	gerold-lannister	SUCCEEDS	Cerelle Lannister
100	drogos-khalasar	4	1	0	0	drogo	SWORN_TO	Drogo's khalasar
101	2-bc	3	1	0	1	house-baratheon	OVERLORD_OF	2 BC (track_b: Overlords)
102	thenn	3	1	0	0	sigorn	BORN_AT	Thenn
103	aegon-ii	1	1	0	0	dance-of-the-dragons	DEFEATS	Aegon II
104	aegon-iii	1	1	0	0	dance-of-the-dragons	DEFEATS	Aegon III
105	aegon-vi-targaryen	1	1	0	0	varys	SWORN_TO	Aegon VI Targaryen
106	blackfyre-rebellions	1	1	0	0	second-blackfyre-rebellion	FIGHTS_IN	Blackfyre Rebellions
107	house-farwynd	1	1	0	0	triston-farwynd	SWORN_TO	House Farwynd
108	joffrey-lydden	1	1	0	0	gerold-iii-lannister	SUCCEEDS	Joffrey Lydden
109	lord-caswell	1	1	0	0	lady-caswell	SPOUSE_OF	Lord Caswell
110	lord-commander	1	1	0	0	mutiny-at-castle-black	DEFEATS	Lord Commander
111	rhaenyra	1	1	0	0	dance-of-the-dragons	DEFEATS	Rhaenyra
112	sabitha-vypren	1	1	0	0	forrest-frey	SPOUSE_OF	Sabitha Vypren
113	sea-watch	1	1	0	0	tristimun	MEMBER_OF	Sea watch
114	unknown	321	0	0	0	addam-hightower	SPOUSE_OF	Unknown
115	the-citadel	83	0	0	0	abelon	SWORN_TO	The Citadel
116	extinct	37	0	0	0	house-amber	RULES	Extinct
117	son	31	0	0	0	alyn-tarbeck	PARENT_OF	Son
118	none	29	0	0	0	aerys-i-targaryen	PARENT_OF	None
119	sons	27	0	0	0	antario-jast	PARENT_OF	Sons
120	daughter	26	0	0	0	alysane-mormont	PARENT_OF	Daughter
121	captain	20	0	1	0	alvyn-sharp	HOLDS_TITLE	Captain
122	commander	13	0	0	0	bedwyck	HOLDS_TITLE	Commander
123	daughters	8	0	0	0	choq-choq	PARENT_OF	Daughters
124	two-daughters	8	0	0	0	corwyn-corbray	PARENT_OF	Two daughters
125	unborn-child	8	0	0	0	alyce-graceford	PARENT_OF	Unborn child
126	gate	7	0	0	0	big-brusco	SWORN_TO	Gate
127	deceased-husband	6	0	0	0	anya-waynwood	SPOUSE_OF	Deceased husband
128	deceased-wife	6	0	0	0	mors-umber	SPOUSE_OF	Deceased wife
129	golden-company-victory	6	0	0	0	fall-of-mistwood	DEFEATS	Golden Company victory
130	lord-marshal-of-the-mander	6	0	0	0	desmond-manderly	HOLDS_TITLE	Lord Marshal of the Mander
131	red-keep-kings-landing	6	0	0	0	aemon-targaryen-son-of-viserys-ii	BORN_AT	Red Keep, King's Landing
132	the-reach	6	0	0	0	house-ambrose	REGION_OF	The Reach
133	a-son	5	0	0	0	davos-dayne	PARENT_OF	A son
134	at-least-one-son	5	0	0	0	arlan-i-durrandon	PARENT_OF	At least one son
135	brother	5	0	0	0	clement	HOLDS_TITLE	Brother
136	father-is-oberyn-martell	5	0	0	0	nymeria-sand	PARENT_OF	(reverse) Father is Oberyn Martell
137	iron-throne-victory	5	0	0	0	burning-of-the-sept-of-remembrance	DEFEATS	Iron Throne victory
138	three-sons	5	0	0	0	ambrose-butterwell	PARENT_OF	Three sons
139	three-wives	5	0	0	0	horton-redfort	SPOUSE_OF	Three wives
140	1-unknown	4	0	0	0	cregan-karstark	SPOUSE_OF	1: Unknown
141	durrandon	4	0	0	0	battle-by-the-bloody-pool	DEFEATS	Durrandon
142	goodman	4	0	0	0	beck	HOLDS_TITLE	Goodman
143	khal-drogos-khalasar	4	0	0	0	doreah	SWORN_TO	Khal Drogo's khalasar
144	2-unknown	3	0	0	0	cregan-karstark	SPOUSE_OF	2: Unknown
145	300-ac-meereen	3	0	0	0	loyal-spear	DIED_AT	300 AC, Meereen
146	a-daughter	3	0	0	0	gerold-iii-lannister	HEIR_TO	A daughter
147	admiral	3	0	0	0	alyn-velaryon	HOLDS_TITLE	Admiral
148	at-least-four-sons	3	0	0	0	agnes-blackwood	PARENT_OF	At least four sons
149	balon-ix-greyjoy	3	0	0	0	euron-greyjoy	SUCCEEDS	Balon IX Greyjoy
150	bolton	3	0	0	0	battle-outside-the-gates-of-winterfell	DEFEATS	Bolton
151	cerwyn	3	0	0	0	cley-cerwyn	BORN_AT	Cerwyn (track_b: Born)
152	euron-iii-greyjoy	3	0	0	0	balon-greyjoy	SUCCEEDS	Euron III Greyjoy (track_b: Successor)
153	four-wives	3	0	0	0	jasper-wylde	SPOUSE_OF	Four wives
154	healing	3	0	0	0	ebrose	HOLDS_TITLE	healing
155	house-baratheon-of-storms-end	3	0	0	0	holy-hundred	SWORN_TO	House Baratheon of Storm's End (track_b: Allegiance)
156	house-tyrell-of-highgarden	3	0	0	0	garlan-tyrell	SWORN_TO	House Tyrell of Highgarden
157	issue	3	0	0	0	garth-the-gardener	PARENT_OF	Issue
158	lady-stonetree	3	0	0	0	harlon-greyjoy	PARENT_OF	Lady Stonetree
159	meereen-300-ac	3	0	0	0	eladon-goldenhair	DIED_AT	Meereen, 300 AC
160	northern-victory	3	0	0	0	battle-at-long-lake	DEFEATS	Northern victory
161	partial-destruction-of-town	3	0	0	0	first-sack-of-maidenpool	DEFEATS	partial destruction of town
162	royal-victory	3	0	0	0	attack-on-old-wyk	DEFEATS	Royal victory
163	two-sons	3	0	0	0	quenton-qoherys	PARENT_OF	Two sons
164	winterfell-299-ac	3	0	0	0	squint	DIED_AT	Winterfell, 299 AC
