rank	target_slug	edge_count	in_count	is_title	is_date	example_source	example_edge_type	example_target_text
1	small-council	1	215	0	0	qyburn	MEMBER_OF	Small council
2	blacks	94	138	0	0	addam-velaryon	SWORN_TO	Blacks
3	greens	58	127	0	0	adrian-tarbeck	SWORN_TO	Greens
4	narrow-sea	1	120	0	0	assassination-of-tywin-lannister	DEFEATS	narrow sea
5	others	14	76	0	0	chett	SWORN_TO	Others (track_b: Allegiances)
6	unsullied	17	68	0	0	black-fist	SWORN_TO	Unsullied
7	house-manderly	24	61	0	0	bartimus	SWORN_TO	House Manderly
8	harren-hoare	3	56	0	0	halleck-hoare	HEIR_TO	Harren Hoare
9	haunted-forest	2	55	0	0	clubfoot-karl	DIED_AT	Haunted forest (track_b: Died)
10	house-blackwood	30	46	0	0	agnes-blackwood	SWORN_TO	House Blackwood
11	house-bracken	24	45	0	0	aegor-rivers	SWORN_TO	House Bracken
12	queens-men	18	43	0	0	alester-florent	SWORN_TO	Queen's men
13	crossroads-inn	1	39	0	0	wat-orphan	SWORN_TO	Crossroads inn
14	dothraki-sea	19	35	0	0	caggo	BORN_AT	Dothraki Sea
15	house-rogare	12	35	0	0	drako-rogare	SWORN_TO	House Rogare
16	khal	22	34	1	0	bharbo	HOLDS_TITLE	Khal
17	house-darry	16	34	0	0	damon-darry	SWORN_TO	House Darry
18	century-of-blood	3	34	0	0	agnes-blackwood	DIED_AT	Century of Blood
19	house-florent	18	33	0	0	aladore-florent	SWORN_TO	House Florent
20	dragons	1	32	0	0	dance-of-the-dragons	DEFEATS	dragons
21	flea-bottom	5	30	0	0	clayton-suggs	BORN_AT	Flea Bottom
22	crypt-of-winterfell	14	29	0	0	barthogan-stark	BURIED_AT	Crypt of Winterfell
23	house-durrandon	5	29	0	0	argella-durrandon	SWORN_TO	House Durrandon
24	ruby-ford	1	29	0	0	rhaegar-targaryen	DIED_AT	Ruby Ford (track_b: Died)
25	rhoynar	11	28	0	0	druselka	SWORN_TO	Rhoynar
26	lords-declarant	7	27	0	0	anya-waynwood	SWORN_TO	Lords Declarant
27	house-cerwyn	6	27	0	0	argelle-stark	SWORN_TO	House Cerwyn
28	jeyne-arryn	4	27	0	0	arnold-arryn	OPPOSES	Jeyne Arryn (wiki:Arnold_Arryn)
29	silent-sisters	4	26	0	0	alysanne-osgrey	SWORN_TO	Silent Sisters
30	arlan-of-pennytree	1	26	0	0	chestnut	OWNS	Arlan of Pennytree
31	ship	1	26	0	0	quence	SWORN_TO	Ship
32	larys-strong	1	25	0	0	hour-of-the-wolf	DEFEATS	Larys Strong
33	house-gardener	10	24	0	0	alester-tyrell	SWORN_TO	House Gardener
34	stormcrows	7	24	0	0	daario-naharis	SWORN_TO	Stormcrows
35	house-of-black-and-white	2	24	0	0	umma	SWORN_TO	House of Black and White
36	299-ac	1	24	0	1	house-bolton	OVERLORD_OF	299 AC (track_b: Overlords)
37	betrothal	1	24	0	0	lyonel-baratheons-rebellion	DEFEATS	Betrothal
38	house-hornwood	7	23	0	0	berena-hornwood	SWORN_TO	House Hornwood
39	house-dustin	6	23	0	0	barbrey-dustin	SWORN_TO	House Dustin
40	marwyn	1	23	0	0	qyburn	RESPECTS	Marwyn
41	joffrey-i-baratheon	2	22	0	0	robert-i-baratheon	SUCCEEDS	Joffrey I Baratheon
42	hugh-hammer	1	22	0	0	vermithor	OWNS	Hugh Hammer
43	vale	5	21	0	0	battle-in-the-waters-off-gulltown	DEFEATS	Vale
44	house-glover	13	19	0	0	benton-glover	SWORN_TO	House Glover
