rank	target_slug	edge_count	in_count	is_title	is_date	example_source	example_edge_type	example_target_text
1	crossroads-inn	2	39	0	0	masha-heddle	DIED_AT	Crossroads inn (track_b: Died)
2	dragons	1	32	0	0	dance-of-the-dragons	DEFEATS	dragons
3	ship	2	26	0	0	allaquo	SWORN_TO	Ship
4	299-ac	1	24	0	1	house-bolton	OVERLORD_OF	299 AC (track_b: Overlords)
5	betrothal	1	24	0	0	lyonel-baratheons-rebellion	DEFEATS	Betrothal
6	joffrey-i-baratheon	2	22	0	0	robert-i-baratheon	SUCCEEDS	Joffrey I Baratheon
7	vale	5	21	0	0	battle-in-the-waters-off-gulltown	DEFEATS	Vale
8	lads	3	16	0	0	alysanne-blackwood	SWORN_TO	Lads
9	282-ac	1	16	0	1	house-baratheon	OVERLORD_OF	282 AC (track_b: Overlords)
10	moon-of-the-three-kings	1	16	0	0	riot-of-kings-landing-dance-of-the-dragons	DEFEATS	Moon of the Three Kings
11	300-ac	1	15	0	1	house-bolton	OVERLORD_OF	300 AC (track_b: Overlords)
12	giant	1	14	0	0	wun-weg-wun-dar-wun	CULTURE_OF	Giant
13	happy-port	6	10	0	0	assadora	SWORN_TO	Happy Port
14	kings-men	5	10	0	0	andrew-estermont	SWORN_TO	King's men
15	the-wall	1	10	0	0	harma-dogshead	DIED_AT	The Wall (track_b: Died)
16	dornish	15	9	0	0	alleras	CULTURE_OF	Dornish (track_b: Race)
17	king-s-landing	1	9	0	0	bramm-of-blackhull	DIED_AT	King’s Landing (track_b: Died)
18	kings-of-the-reach	1	9	0	0	order-of-the-green-hand	SWORN_TO	Kings of the Reach
19	tommen-i-baratheon	7	8	0	0	boots	OWNS	Tommen I Baratheon
20	storm-kings	1	8	0	0	battle-of-six-kings	DEFEATS	Storm Kings
21	the-gate	1	8	0	0	izembaro	SWORN_TO	The Gate
22	house-flint	3	7	0	0	byam-flint	SWORN_TO	House Flint
23	iron-bank	1	7	0	0	bessaro-reyaan	SWORN_TO	Iron Bank
24	lady-of-coldmoat	1	7	1	0	rohanne-webber	HOLDS_TITLE	Lady of Coldmoat
25	lord-paramount-of-the-mander	8	6	1	0	bertrand-tyrell	HOLDS_TITLE	Lord Paramount of the Mander
26	house-fossoway	3	6	0	0	derrick-fossoway	SWORN_TO	House Fossoway
27	wedding-of-aegon-iii-targaryen-and-jaehaera-targaryen	1	6	0	0	dance-of-the-dragons	DEFEATS	Wedding of Aegon III Targaryen and Jaehaera Targaryen
28	yunkish	1	6	0	0	crunch	DIED_AT	Yunkish (track_b: Died)
29	battle-of-stonebridge	1	5	0	0	faith-militant-uprising	FIGHTS_IN	Battle of Stonebridge
30	lady-of-the-eyrie	1	5	1	0	jeyne-arryn	HOLDS_TITLE	Lady of the Eyrie
31	motherhouse-of-maris	1	5	0	0	jeyne-arryn	DIED_AT	Motherhouse of Maris (track_b: Died)
32	elephants	3	4	0	0	doniphos-paenymion	SWORN_TO	Elephants
33	last-greenseer	3	4	0	0	ash	SWORN_TO	last greenseer
