[L750] | open | food | asos | asos-jon-06.md:19 | Mole's Town stable boys give the feverish Jon a skin of wine and half a loaf of brown bread — last food before he reaches Castle Black to warn them. | S153 castle-black |
[L751] | open | food | asos | asos-jon-07.md:73 | Owen brings buns to the King's Tower roof before the assault — warm, with raisins, pine nuts, dried apple — plus a wheel of cheese, a bag of onions, a crock of butter; Dick eats at once, Satin too scared. Jon: 'there's no knowing when you'll have another chance.' Pre-battle last-meal register. | S153 castle-black |
[L752] | open | food | asos | asos-jon-07.md:101 | Near evenfall: a loaf of black bread and a pail of Hobb's best mutton 'cooked in a thick broth of ale and onions' — 'They ate every bit of it, using chunks of bread to wipe the bottom of the pail.' Comradeship-before-the-storm. | S153 castle-black |
[L753] | open | food | asos | asos-jon-08.md:25 | Waiting for the cage at the Wall: Clydas brings cups of hot mulled wine, Three-Finger Hobb passes chunks of black bread; Jon gnaws a heel. Sparse pre-assault ration. | S153 castle-black |
[L754] | open | food | asos | asos-jon-08.md:85 | Hobb rides up the chain with cups of onion broth, served to the archers at their posts 'so they could gulp them down between arrows.' Hospitality-under-fire — feeding men mid-battle atop the Wall. Grim register. | S153 castle-black |
[L755] | open | food | asos | asos-jon-09.md:51 | Jon forces himself to eat — bread, bacon, onions, and cheese — before the turtle assault, knowing it might be his last meal. Siege last-meal frame. | S153 castle-black |
[L756] | open | food | asos | asos-jon-09.md:47 | Siege-starvation logistics: 'Their oil was all but gone, and the last barrel of pitch had been rolled off the Wall two nights ago. They would soon run short of arrows as well, and there were no fletchers making more.' Supply-starvation register. | S153 castle-black |
[L757] | open | food | asos | asos-jon-09.md:44 | Wildling-camp normalcy contrast: Tormund Giantsbane eating the roast leg of a goat and bellowing orders; Val milking a she-goat by Mance's tent. | S153 castle-black |
[L758] | open | food | asos | asos-jon-10.md:85 | Tormund hands Jon his mead-skin in no-man's-land — a mead 'so potent that it made Jon's eyes water' — and they drink a cross-faction toast 'To Donal Noye, and Mag the Mighty,' and to Ygritte 'kissed by fire.' Hospitality-in-extremis under truce. | S153 castle-black |
[L759] | open | food | asos | asos-jon-06.md:99 | Clydas brings Jon milk of the poppy in 'a green flask and a rounded stone cup' while Aemon treats his arrow wound. Medical-prop detail. | S153 castle-black |
[L760] | open | description | asos | asos-jon-08.md:97 | The wildling host at dawn: 'all the wildlings in the world; raiders and giants, wargs and skinchangers, mountain men, salt sea sailors, ice river cannibals, cave dwellers with dyed faces, dog chariots from the Frozen Shore, Hornfoot men...all the queer wild folk Mance had gathered to break the Wall.' Best single descriptive line for the attack-on-castle-black hub scale. | S153 castle-black |
[L761] | open | description | asos | asos-jon-08.md:167 | Mag the Mighty's power: '...twist the head off Spotted Pate, seize the iron gate, and wrench the bars apart. Links of broken chain lay strewn across the floor. One giant. All this was the work of one giant.' For mag-mar-tun-doh-weg appearance/power. | S153 castle-black |
[L762] | open | description | asos | asos-jon-08.md:165 | The gate tunnel: 'The ice pressed close around them...the weight of the Wall above his head. It felt like walking down the gullet of an ice dragon.' Atmosphere for the noye-and-mag tunnel node. | S153 castle-black |
[L763] | open | appearance | asos | asos-jon-07.md:171 | Styr the Magnar's only physical description: bronze scale armor gleaming, 'the bald earless whoreson,' a long weirwood spear with an ornate bronze head. For the styr node. | S153 castle-black |
[L764] | open | appearance | asos | asos-jon-06.md:27 | Donal Noye at his forge on Jon's return: 'good to see Noye with his big belly and pinned-up sleeve, his jaw bristling with black stubble'; warmth 'like the hot breath of summer.' Book-cite Tier-1 for the donal-noye appearance field. | S153 castle-black |
[L765] | open | quote | asos | asos-jon-11.md:39 | Stannis on Noye: 'Noye made my first sword for me, and Robert's warhammer as well. Had the god seen fit to spare him, he would have made a better Lord Commander...than any of these fools.' For donal-noye ## Quotes (also a Robert's-Rebellion-arc warhammer thread). | S153 castle-black |
[L766] | open | description | asos | asos-jon-10.md:161 | Horn of Winter physical description: 'eight feet along the curve...wide at the mouth that he could have put his arm inside up to the elbow...bands...were gold. Old gold, more brown than yellow, and graven with runes.' For the horn-of-winter node (provenance stays gated). | S153 castle-black |
[L767] | open | description | asos | asos-jon-07.md:33 | The scarecrow sentinels (Aemon's ruse): straw-stuffed black cloaks with spears/crossbows on every tower and half the windows to inflate the apparent garrison. Node-prose for attack-on-castle-black (the DECEIVES edge was dropped — failed deception). | S153 castle-black |
[L768] | open | description | asos | asos-jon-09.md:29 | The Turtle siege engine: a rounded top on eight huge wheels, mammoth-hide-and-sheepskin roof over a stout frame — 'a hull turned upside down...a longhall on wheels'; Satin thought they were building a ship. Candidate node-prose / future sub-beat. | S153 castle-black |
[L769] | open | quote | asos | asos-jon-11.md:33 | Melisandre in the cage: 'She even smells red...the scent reminded him of Mikken's forge...smoke and blood. Kissed by fire, he thought, remembering Ygritte.' Olfactory Melisandre/Ygritte link. | S153 castle-black |
