# 586 existing distinct edges touching the frey-pies-gnc core node-set
aenys-frey	COMMANDS	roose-bolton	T1
alester-florent	COMPANION_OF	davos-seaworth	T1
arnolf-karstark	ALLIES_WITH	roose-bolton	T1
arnolf-karstark	SERVES	roose-bolton	T1
arra-norrey	PARENT_OF	rickon-stark	T2
arya-stark	FEARS	roose-bolton	T1
arya-stark	MOURNS	rickon-stark	T1
arya-stark	MOURNS	robb-stark	T1
arya-stark	SEEKS	robb-stark	T1
arya-stark	SERVES	roose-bolton	T1
arya-stark	SIBLING_OF	rickon-stark	T1
arya-stark	SIBLING_OF	robb-stark	T1
asha-greyjoy	VICTIM_IN	stannis-march-on-winterfell	T1
axell-florent	COMMANDS_IN	ser-axell-florent-arrests-davos	T1
axell-florent	OPPOSES	davos-seaworth	T1
axell-florent	RESENTS	davos-seaworth	T1
balon-greyjoy	HATES	robb-stark	T1
bannen	BORN_AT	white-harbor	T2
barbrey-dustin	ALLIES_WITH	roose-bolton	T1
barbrey-dustin	HATES	ramsay-snow	T1
barbrey-dustin	OPPOSES	roose-bolton	T1
bartimus	BORN_AT	white-harbor	T2
bartimus	GUARDS	davos-seaworth	T1
bartimus	RESCUES	wyman-manderly	T1
bartimus	SWORN_TO	house-manderly	T2
bastards-boys	SWORN_TO	ramsay-snow	T1
battle-near-yunkai	PRECEDES	red-wedding	T3
ben-bones	SERVES	ramsay-snow	T1
benjen-stark-lord	PARENT_OF	rickon-stark	T2
bethany-bolton	SPOUSE_OF	roose-bolton	T2
bran-stark	HEIR_TO	robb-stark	T1
bran-stark	LOVES	robb-stark	T1
bran-stark	MOURNS	rickon-stark	T1
bran-stark	MOURNS	robb-stark	T1
bran-stark	PROTECTS	rickon-stark	T1
bran-stark	SIBLING_OF	rickon-stark	T1
bran-stark	SIBLING_OF	robb-stark	T1
brave-companions	SWORN_TO	roose-bolton	T1
brienne-tarth	GUEST_OF	roose-bolton	T1
brienne-tarth	IGNORANT_OF	robb-stark	T1
brienne-tarth	MOURNS	robb-stark	T1
brynden-tully	COMMANDS_IN	siege-of-riverrun	T1
catelyn-is-killed	SUB_BEAT_OF	red-wedding	T2
catelyn-secures-guest-right	SUB_BEAT_OF	red-wedding	T1
catelyn-stark	DISTRUSTS	roose-bolton	T1
catelyn-stark	GUEST_OF	wyman-manderly	T1
catelyn-stark	LOVES	robb-stark	T1
catelyn-stark	PARENT_OF	rickon-stark	T1
catelyn-stark	PARENT_OF	robb-stark	T1
catelyn-stark	SERVES	robb-stark	T1
catelyn-stark	TUTORS	robb-stark	T1
cersei-lannister	COMMANDS_IN	davos-seaworth-captured	T1
cleos-frey	GUEST_OF	robb-stark	T1
cregan-stark	PARENT_OF	rickon-stark	T2
crossbows-kill-more-northmen	SUB_BEAT_OF	red-wedding	T2
dacey-mormont	SERVES	robb-stark	T1
daven-lannister	COMMANDS_IN	siege-of-riverrun	T1
davos-seaworth	AGENT_IN	fleet-forms-battle-lines	T1
davos-seaworth	AGENT_IN	renly-s-death-reflection	T1
davos-seaworth	AGENT_IN	siege-of-storms-end-299	T1
davos-seaworth	ALLIES_WITH	gerald-gower	T1
davos-seaworth	BORN_AT	kings-landing	T2
davos-seaworth	CAPTAIN_OF	black-betha	T1
davos-seaworth	COMPANION_OF	alester-florent	T1
davos-seaworth	COMPANION_OF	salladhor-saan	T1
davos-seaworth	CULTURE_OF	crownlands	T2
davos-seaworth	DISTRUSTS	axell-florent	T1
davos-seaworth	DISTRUSTS	imry-florent	T1
davos-seaworth	DISTRUSTS	melisandre	T1
davos-seaworth	DISTRUSTS	salladhor-saan	T1
davos-seaworth	FEARS	melisandre	T1
davos-seaworth	FIGHTS_IN	battle-of-the-blackwater	T1
davos-seaworth	FOUNDED	house-seaworth	T2
davos-seaworth	GUEST_OF	godric-borrell	T1
davos-seaworth	GUEST_OF	khorane-sathmantes	T1
davos-seaworth	GUEST_OF	salladhor-saan	T1
davos-seaworth	GUEST_OF	stannis-baratheon	T1
davos-seaworth	GUEST_OF	wyman-manderly	T1
davos-seaworth	HATES	melisandre	T1
davos-seaworth	HOLDS_TITLE	admiral-of-the-narrow-sea	T2
davos-seaworth	HOLDS_TITLE	hand-of-the-king	T2
davos-seaworth	HOLDS_TITLE	lord-of-the-rainwood	T2
davos-seaworth	HOLDS_TITLE	ser	T2
davos-seaworth	LOVES	devan-seaworth	T1
davos-seaworth	MOURNS	allard-seaworth	T1
davos-seaworth	MOURNS	cressen	T1
davos-seaworth	MOURNS	dale-seaworth	T1
davos-seaworth	MOURNS	his-high-holiness	T1
davos-seaworth	MOURNS	marya-seaworth	T1
davos-seaworth	OPPOSES	house-frey	T1
davos-seaworth	OPPOSES	melisandre	T1
davos-seaworth	OPPOSES	rhllor	T1
davos-seaworth	PARENT_OF	allard-seaworth	T2
davos-seaworth	PARENT_OF	dale-seaworth	T2
davos-seaworth	PARENT_OF	devan-seaworth	T1
davos-seaworth	PARENT_OF	maric-seaworth	T2
davos-seaworth	PARENT_OF	matthos-seaworth	T2
davos-seaworth	PARENT_OF	stannis-seaworth	T2
davos-seaworth	PARENT_OF	steffon-seaworth	T2
davos-seaworth	PROTECTS	edric-storm	T1
davos-seaworth	RESCUES	edric-storm	T1
davos-seaworth	RESENTS	pylos	T1
davos-seaworth	RESPECTS	bastard	T1
davos-seaworth	RESPECTS	cressen	T1
davos-seaworth	RESPECTS	salladhor-saan	T1
davos-seaworth	RULES	house-seaworth	T2
davos-seaworth	SERVES	imry-florent	T1
davos-seaworth	SERVES	roro-uhoris	T1
davos-seaworth	SERVES	stannis-baratheon	T1
davos-seaworth	SPOUSE_OF	marya-seaworth	T1
davos-seaworth	SWORN_TO	house-baratheon-of-dragonstone	T2
davos-seaworth	SWORN_TO	house-seaworth	T2
davos-seaworth	SWORN_TO	stannis-baratheon	T1
davos-seaworth	TRAVELS_WITH	melisandre	T1
davos-seaworth	TRUSTS	salladhor-saan	T1
davos-seaworth	VICTIM_IN	davos-seaworth-captured	T1
davos-seaworth	VICTIM_IN	ser-axell-florent-arrests-davos	T1
