# 20 existing edges BETWEEN two core ned-black-cells nodes (the re-mint dedup set)
arrest-of-eddard-stark	CAUSES	execution-of-eddard-stark	T2
eddard-stark	AGENT_IN	ned-confesses-to-treason	T1
eddard-stark	AGENT_IN	ned-discovers-the-truth-of-joffrey-s-parentage	T1
eddard-stark	DISTRUSTS	varys	T1
eddard-stark	MOURNS	sansa-stark	T1
eddard-stark	PARENT_OF	sansa-stark	T1
eddard-stark	PROTECTS	sansa-stark	T1
eddard-stark	VICTIM_IN	execution-of-eddard-stark	T1
ned-confesses-to-treason	SUB_BEAT_OF	execution-of-eddard-stark	T3
ned-confesses-to-treason	TRIGGERS	execution-of-eddard-stark	T2
ned-discovers-the-truth-of-joffrey-s-parentage	ENABLES	arrest-of-eddard-stark	T2
ned-discovers-the-truth-of-joffrey-s-parentage	MOTIVATES	eddard-stark	T2
sansa-stark	BETRAYS	eddard-stark	T1
sansa-stark	MOURNS	eddard-stark	T1
sansa-stark	RESENTS	eddard-stark	T1
sansa-stark	WITNESS_IN	execution-of-eddard-stark	T1
varys	BETRAYS	eddard-stark	T1
varys	DECEIVES	eddard-stark	T2
varys	SWORN_TO	eddard-stark	T1
varys	WITNESS_IN	execution-of-eddard-stark	T1
