==============================================================================
CORE slugs WITHOUT a live node file (1) — candidates to BUILD if load-bearing:
  the-twins
==============================================================================

INTERNAL EDGES (both endpoints in core): 218 unique
==============================================================================
  battle-in-the-whispering-wood  [ENABLES]  battle-of-the-camps  | tier-2
  battle-in-the-whispering-wood  [PRECEDES]  battle-of-the-camps  | 3
  battle-of-oxcross  [ENABLES]  taking-of-ashemark  | tier-2
  battle-of-the-camps  [ENABLES]  robb-proclaimed-king-in-the-north  | tier-2
  castamere  [SEAT_OF]  house-spicer  | 2
  catelyn-stark  [DIED_AT]  twins  | 2
  catelyn-stark  [DISTRUSTS]  walder-frey  | 1
  catelyn-stark  [DISTRUSTS]  roose-bolton  | 1
  catelyn-stark  [DISTRUSTS]  jaime-lannister  | 1
  catelyn-stark  [GRANTS_SAFE_CONDUCT]  jaime-lannister  | 1
  catelyn-stark  [GUEST_OF]  walder-frey  | 1
  catelyn-stark  [HATES]  jaime-lannister  | 1
  catelyn-stark  [LOVES]  robb-stark  | 1
  catelyn-stark  [PARENT_OF]  robb-stark  | 1
  catelyn-stark  [SEEKS]  jaime-lannister  | 1
  catelyn-stark  [SERVES]  robb-stark  | 1
  catelyn-stark  [SWORN_TO]  house-stark  | 2
  catelyn-stark  [TUTORS]  robb-stark  | 1
  catelyn-stark  [TUTORS]  jeyne-westerling  | 1
  catelyn-stark  [VICTIM_IN]  red-wedding-revealed  | 2
  crag  [SEAT_OF]  house-westerling  | 2
  defiance-of-duskendale  [LOCATED_AT]  duskendale  | 1
  gawen-westerling  [BORN_AT]  crag  | 2
  gawen-westerling  [HOLDS_TITLE]  lord-of-the-crag  | 2
  gawen-westerling  [PARENT_OF]  raynald-westerling  | 2
  gawen-westerling  [PARENT_OF]  jeyne-westerling  | 2
  gawen-westerling  [PARENT_OF]  rollam-westerling  | 2
  gawen-westerling  [RULES]  house-westerling  | 2
  gawen-westerling  [SPOUSE_OF]  sybell-spicer  | 2
  gawen-westerling  [SWORN_TO]  house-westerling  | 2
  gawen-westerling  [VICTIM_IN]  battle-in-the-whispering-wood  | tier-2
  gregor-clegane  [SERVES]  tywin-lannister  | 1
  gregor-clegane  [SWORN_TO]  tywin-lannister  | 1
  gregor-clegane  [SWORN_TO]  house-lannister  | 2
  grey-wind  [AGENT_IN]  battle-of-oxcross  | 2
  grey-wind  [BONDED_TO]  robb-stark  | 1
  grey-wind  [COMPANION_OF]  robb-stark  | 1
  grey-wind  [DIED_AT]  twins  | 2
  grey-wind  [FIGHTS_IN]  battle-of-the-camps  | 2
  grey-wind  [FIGHTS_IN]  battle-in-the-whispering-wood  | tier-1
  grey-wind  [FIGHTS_IN]  storming-of-the-crag  | tier-1
  grey-wind  [FIGHTS_IN]  taking-of-ashemark  | tier-1
  grey-wind  [GUEST_OF]  walder-frey  | 1
  grey-wind  [OPPOSES]  rolph-spicer  | 1
  grey-wind  [OPPOSES]  house-frey  | 1
  grey-wind  [PROTECTS]  robb-stark  | 1
  grey-wind  [TRUSTS]  catelyn-stark  | 1
  grey-wind  [VICTIM_IN]  grey-wind-killed-at-the-twins  | 1
  grey-wind-killed-at-the-twins  [SUB_BEAT_OF]  red-wedding  | 1
  helman-tallhart  [DIED_AT]  duskendale  | 2
  helman-tallhart  [SWORN_TO]  house-tallhart  | 2
  house-bolton  [AGENT_IN]  red-wedding-revealed  | 2
  house-bolton  [OVERLORD_OF]  house-karstark  | 2
  house-bolton  [OVERLORD_OF]  house-stark  | 2
  house-bolton  [OVERLORD_OF]  house-tallhart  | 2
  house-frey  [AGENT_IN]  red-wedding-revealed  | 1
  house-frey  [AGENT_IN]  grey-wind-killed-at-the-twins  | 1
  house-frey  [GUEST_OF]  roose-bolton  | 1
  house-frey  [VIOLATES_GUEST_RIGHT]  catelyn-stark  | 1
  house-frey  [VIOLATES_GUEST_RIGHT]  robb-stark  | 1
  house-karstark  [CADET_BRANCH_OF]  house-stark  | 2
  house-lannister  [OVERLORD_OF]  house-spicer  | 2
  house-lannister  [OVERLORD_OF]  house-westerling  | 2
  house-spicer  [HOLDS_TITLE]  lord-of-castamere  | 2
  house-stark  [OVERLORD_OF]  house-bolton  | 2
  house-stark  [OVERLORD_OF]  house-glover  | 2
  house-stark  [OVERLORD_OF]  house-karstark  | 2
  house-stark  [OVERLORD_OF]  house-tallhart  | 2
  house-stark  [OVERLORD_OF]  house-westerling  | 2
  house-westerling  [GUEST_OF]  house-lannister  | 1
  house-westerling  [HOLDS_TITLE]  lord-of-the-crag  | 2
  jaime-lannister  [COMMANDS_IN]  battle-of-the-camps  | 2
  jaime-lannister  [GUEST_OF]  catelyn-stark  | 1
  jaime-lannister  [GUEST_OF]  roose-bolton  | 1
  jaime-lannister  [HATES]  sybell-spicer  | 1
  jaime-lannister  [IN_LAW_OF]  walder-frey  | 1
  jaime-lannister  [MOURNS]  tywin-lannister  | 1
