chapter,book,wave,status,start_time,end_time,duration_s,input_tokens,cache_creation_tokens,cache_read_tokens,output_tokens,total_tokens,cost_usd
acok-tyrion-11,acok,14,ok,2026-05-02 11:38:18,2026-05-02 11:42:44,266,9772,56649,60494,11636,138551,0.7246662500000001
acok-theon-02,acok,11,ok,2026-05-02 11:38:18,2026-05-02 11:43:06,288,5,62939,75636,12476,151056,0.74371475
acok-tyrion-01,acok,12,ok,2026-05-02 11:38:18,2026-05-02 11:44:02,344,5,63898,73938,15141,152982,0.8154545000000001
acok-tyrion-06,acok,13,ok,2026-05-02 11:38:18,2026-05-02 11:45:32,434,5,68208,73623,19845,161681,0.9598395
acok-theon-03,acok,11,ok,2026-05-02 11:43:06,2026-05-02 11:47:01,235,4096,40952,119008,10430,174486,0.5972820000000001
acok-tyrion-12,acok,14,ok,2026-05-02 11:42:44,2026-05-02 11:47:04,260,5,42656,83900,11532,138093,0.597458
acok-tyrion-02,acok,12,ok,2026-05-02 11:44:02,2026-05-02 11:47:27,205,4096,42175,121935,8573,176779,0.5599492500000001
acok-tyrion-07,acok,13,ok,2026-05-02 11:45:32,2026-05-02 11:49:31,239,5,41652,84095,10313,136065,0.5608205
acok-theon-04,acok,11,ok,2026-05-02 11:47:01,2026-05-02 11:50:37,216,4096,42847,122664,8372,177979,0.55950375
acok-tyrion-13,acok,14,ok,2026-05-02 11:47:04,2026-05-02 11:51:05,241,7782,40665,74318,11395,134160,0.61568325
acok-tyrion-03,acok,12,ok,2026-05-02 11:47:27,2026-05-02 11:53:11,344,5,48681,86326,15195,150207,0.72789725
acok-theon-05,acok,11,ok,2026-05-02 11:50:37,2026-05-02 11:54:13,216,4096,40648,119858,9182,173784,0.564607
acok-tyrion-14,acok,14,ok,2026-05-02 11:51:06,2026-05-02 11:55:25,259,5,41262,83114,11069,135450,0.5767825
acok-tyrion-08,acok,13,ok,2026-05-02 11:49:31,2026-05-02 11:56:29,418,5,51092,83395,20460,154952,0.8731255
acok-tyrion-04,acok,12,ok,2026-05-02 11:53:11,2026-05-02 12:00:09,418,5,54155,88272,18676,161108,0.8501327499999999
acok-theon-06,acok,11,ok,2026-05-02 11:54:13,2026-05-02 12:00:21,368,5,48479,86332,15007,149823,0.72194275
acok-tyrion-15,acok,14,ok,2026-05-02 11:55:25,2026-05-02 12:02:35,430,5,49647,84401,18176,152229,0.80750225
acok-tyrion-09,acok,13,ok,2026-05-02 11:56:29,2026-05-02 12:04:28,479,5,56497,87792,21534,165828,0.93597525
acok-tyrion-05,acok,12,ok,2026-05-02 12:00:10,2026-05-02 12:06:03,353,5,49508,86822,15508,151843,0.741159
acok-tyrion-10,acok,13,ok,2026-05-02 12:04:28,2026-05-02 12:08:45,257,4096,44812,122119,11012,182039,0.6374774999999999
