chapter,book,wave,status,start_time,end_time,duration_s,input_tokens,cache_creation_tokens,cache_read_tokens,output_tokens,total_tokens,cost_usd,last_heartbeat,terminal_id,retry_at
acok-arya-01,acok,1,done,2026-05-04 15:16:56,2026-05-04 15:19:53,177,5,51146,67157,8444,126752,0.5649590000000001,,,
acok-arya-06,acok,2,done,2026-05-04 15:16:56,2026-05-04 15:22:08,312,6,56697,110995,13624,181322,0.7510667500000001,,,
acok-arya-01,acok,1,done,2026-05-04 15:18:52,2026-05-04 15:23:06,254,5,51146,67157,8444,126752,0.5649590000000001,,,
acok-arya-07,acok,2,done,2026-05-04 15:22:08,2026-05-04 15:23:09,61,3,10357,13790,244,24394,0.07832925000000002,,,
acok-arya-02,acok,1,done,2026-05-04 15:19:53,2026-05-04 15:23:12,199,0,0,0,0,0,0,,,
acok-arya-03,acok,1,done,2026-05-04 15:23:12,2026-05-04 15:23:16,4,0,0,0,0,0,0.0005780000000000001,,,
acok-arya-02,acok,1,done,2026-05-04 15:23:06,2026-05-04 15:29:37,391,6,47521,122124,16446,186097,0.7698262499999999,,,
acok-arya-03,acok,1,done,2026-05-04 15:29:37,2026-05-04 15:35:29,352,4096,43948,116531,14245,178820,0.7101285,,,
acok-arya-04,acok,1,done,2026-05-04 15:35:29,2026-05-04 15:41:48,379,4096,48801,120677,15134,188708,0.76476775,,,
acok-arya-05,acok,1,done,2026-05-04 15:41:48,2026-05-04 15:44:59,191,6,42310,125502,7802,175620,0.5228465,,,
acok-arya-01,acok,1,done,2026-05-04 16:32:57,2026-05-04 16:36:09,192,6,38475,125972,9134,173587,0.53241275,,,
acok-arya-06,acok,2,done,2026-05-04 16:32:57,2026-05-04 16:37:26,269,7,40769,163737,11545,216058,0.6259327499999999,,,
acok-arya-02,acok,1,done,2026-05-04 16:36:09,2026-05-04 16:41:19,310,6,44482,122153,13430,180071,0.675467,,,
acok-arya-07,acok,2,done,2026-05-04 16:37:26,2026-05-04 16:41:57,271,6,44632,123773,11892,180303,0.6387695,,,
acok-arya-08,acok,2,done,2026-05-04 16:41:58,2026-05-04 16:45:49,231,6,51103,110964,10386,172459,0.63515375,,,
acok-arya-03,acok,1,done,2026-05-04 16:41:19,2026-05-04 16:45:59,280,6,41257,120840,11569,173672,0.6081192500000001,,,
acok-arya-09,acok,2,done,2026-05-04 16:45:49,2026-05-04 16:51:41,352,6,51282,127729,14789,193806,0.7547349999999999,,,
acok-arya-04,acok,1,done,2026-05-04 16:45:59,2026-05-04 16:52:03,364,5,48741,86089,14905,149740,0.7209087500000001,,,
acok-arya-05,acok,1,done,2026-05-04 16:52:03,2026-05-04 16:55:13,190,6,42495,125913,7847,176261,0.5253482500000001,,,
acok-arya-10,acok,2,done,2026-05-04 16:51:41,2026-05-04 16:56:31,290,6,47567,126849,11972,186394,0.66065125,,,
acok-bran-06,acok,4,done,2026-05-04 18:55:20,2026-05-04 18:59:51,271,5,57429,69800,12381,139615,0.70397925,,,
acok-bran-01,acok,3,done,2026-05-04 18:55:17,2026-05-04 19:00:58,341,5,60487,69403,15778,145673,0.8078082500000001,,,
acok-bran-01,acok,3,done,2026-05-04 18:56:35,2026-05-04 19:02:02,327,7,56576,200125,14750,271458,0.8230454999999999,,,
acok-bran-07,acok,4,done,2026-05-04 18:59:51,2026-05-04 19:03:53,242,6,42662,123999,10108,176775,0.5819700000000001,,,
acok-bran-02,acok,3,done,2026-05-04 19:00:58,2026-05-04 19:05:10,252,4096,46065,122614,10790,183565,0.64002125,,,
acok-bran-06,acok,4,done,2026-05-04 18:56:37,2026-05-04 19:06:06,569,4099,45904,308198,24930,383131,1.085347,,,
acok-bran-07,acok,4,skipped-done,,,,,,,,,,,,
acok-catelyn-01,acok,4,done,2026-05-04 19:03:53,2026-05-04 19:09:09,316,6,47439,124976,14031,186452,0.7103797500000001,,,
acok-bran-03,acok,3,done,2026-05-04 19:05:10,2026-05-04 19:09:15,245,6,41488,122511,10534,174539,0.5845135,,,
acok-bran-02,acok,3,done,2026-05-04 19:02:02,2026-05-04 19:10:48,526,9,47934,321103,23044,392090,1.036867,,,
acok-bran-03,acok,3,skipped-done,,,,,,,,,,,,
acok-bran-04,acok,3,done,2026-05-04 19:09:15,2026-05-04 19:13:22,247,5,41805,83353,10953,136116,0.57741075,,,
acok-catelyn-02,acok,4,done,2026-05-04 19:09:09,2026-05-04 19:14:05,296,6,48032,127868,11951,187857,0.663537,,,
acok-catelyn-01,acok,4,done,2026-05-04 19:06:06,2026-05-04 19:14:37,511,9,56198,302916,22570,381693,1.0675735,,,
acok-catelyn-02,acok,4,skipped-done,,,,,,,,,,,,
acok-bran-05,acok,3,done,2026-05-04 19:13:23,2026-05-04 19:16:07,164,4096,38026,117373,8266,167761,0.524077,,,
acok-bran-04,acok,3,done,2026-05-04 19:10:48,2026-05-04 19:16:19,331,9,37122,294276,16709,348116,0.7975235,,,
acok-bran-05,acok,3,skipped-done,,,,,,,,,,,,
acok-catelyn-03,acok,4,done,2026-05-04 19:14:05,2026-05-04 19:18:48,283,6,45197,125333,11595,182131,0.6356307499999999,,,
acok-catelyn-03,acok,4,done,2026-05-04 19:14:37,2026-05-04 19:25:27,650,8,62004,297845,28277,388134,1.2440155,,,
acok-catelyn-04,acok,5,failed-stale,2026-05-05T02:14:51Z,,,,,,,,,2026-05-05T02:14:51Z,Mac.attlocal.net-11306,
acok-daenerys-02,acok,6,failed-stale,2026-05-05T02:14:51Z,,,,,,,,,2026-05-05T02:14:51Z,Mac.attlocal.net-11545,
acok-davos-02,acok,7,failed-stale,2026-05-05T02:14:51Z,,,,,,,,,2026-05-05T02:14:51Z,Mac.attlocal.net-11610,
acok-jon-04,acok,8,failed-stale,2026-05-05T02:14:51Z,,,,,,,,,2026-05-05T02:14:51Z,Mac.attlocal.net-12079,
acok-prologue,acok,9,failed-stale,2026-05-05T02:14:51Z,,,,,,,,,2026-05-05T02:14:51Z,Mac.attlocal.net-12404,
