chapter,wave,status,start_time,end_time,duration_s,input_tokens,output_tokens,total_tokens
agot-arya-04,11,ok,2026-04-22 11:34:55,2026-04-22 11:37:07,132,1,202,203
agot-eddard-12,10,ok,2026-04-22 11:34:51,2026-04-22 11:37:17,146,1,263,264
agot-catelyn-08,12,ok,2026-04-22 11:35:03,2026-04-22 11:37:33,150,1,193,194
agot-jon-08,13,ok,2026-04-22 11:35:09,2026-04-22 11:37:39,150,1,297,298
agot-sansa-04,11,ok,2026-04-22 11:37:07,2026-04-22 11:39:07,120,1,255,256
agot-daenerys-05,10,ok,2026-04-22 11:37:17,2026-04-22 11:39:42,145,1,175,176
agot-daenerys-07,13,ok,2026-04-22 11:37:39,2026-04-22 11:39:46,127,1,149,150
agot-tyrion-07,12,ok,2026-04-22 11:37:33,2026-04-22 11:39:55,142,1,226,227
agot-jon-07,11,ok,2026-04-22 11:39:07,2026-04-22 11:41:38,151,1,191,192
agot-tyrion-08,13,ok,2026-04-22 11:39:46,2026-04-22 11:42:08,142,1,166,167
agot-sansa-05,12,ok,2026-04-22 11:39:55,2026-04-22 11:42:20,145,1,198,199
agot-eddard-13,10,ok,2026-04-22 11:39:42,2026-04-22 11:42:38,176,1,196,197
agot-catelyn-10,13,ok,2026-04-22 11:42:08,2026-04-22 11:44:30,142,1,242,243
agot-jon-06,10,ok,2026-04-22 11:42:38,2026-04-22 11:44:41,123,1,189,190
agot-bran-06,11,ok,2026-04-22 11:41:38,2026-04-22 11:44:41,183,1,175,176
agot-eddard-15,12,ok,2026-04-22 11:42:20,2026-04-22 11:44:42,142,1,236,237
agot-eddard-14,10,ok,2026-04-22 11:44:41,2026-04-22 11:46:46,125,1,224,225
agot-daenerys-08,13,ok,2026-04-22 11:44:30,2026-04-22 11:47:04,154,1,249,250
agot-daenerys-06,11,ok,2026-04-22 11:44:41,2026-04-22 11:47:05,144,1,235,236
agot-catelyn-09,12,ok,2026-04-22 11:44:42,2026-04-22 11:47:14,152,1,162,163
agot-arya-05,14,ok,2026-04-22 12:58:30,2026-04-22 13:00:32,122,1,221,222
agot-jon-09,15,ok,2026-04-22 12:58:42,2026-04-22 13:00:49,127,1,187,188
agot-bran-07,14,ok,2026-04-22 13:00:32,2026-04-22 13:02:51,139,1,167,168
agot-catelyn-11,15,ok,2026-04-22 13:00:49,2026-04-22 13:03:17,148,1,185,186
agot-sansa-06,14,ok,2026-04-22 13:02:51,2026-04-22 13:05:00,129,1,224,225
agot-daenerys-10,15,ok,2026-04-22 13:03:17,2026-04-22 13:05:29,132,1,199,200
agot-daenerys-09,14,ok,2026-04-22 13:05:00,2026-04-22 13:07:32,152,1,333,334
agot-tyrion-09,14,ok,2026-04-22 13:07:32,2026-04-22 13:09:57,145,1,259,260
agot-arya-01,agot,1,ok,2026-04-22 22:28:09,2026-04-22 22:30:47,158,1,30,31
agot-bran-01,agot,2,ok,2026-04-22 22:28:10,2026-04-22 22:30:57,167,1,221,222
agot-catelyn-04,agot,4,ok,2026-04-22 22:28:10,2026-04-22 22:31:28,198,1,42,43
agot-daenerys-03,agot,6,ok,2026-04-22 22:28:10,2026-04-22 22:31:56,226,1,328,329
agot-catelyn-09,agot,5,ok,2026-04-22 22:28:10,2026-04-22 22:32:21,251,1,285,286
agot-bran-06,agot,3,ok,2026-04-22 22:28:10,2026-04-22 22:32:41,271,1,264,265
agot-arya-02,agot,1,ok,2026-04-22 22:30:47,2026-04-22 22:34:17,210,1,269,270
agot-catelyn-05,agot,4,ok,2026-04-22 22:31:28,2026-04-22 22:34:48,200,1,233,234
agot-bran-02,agot,2,ok,2026-04-22 22:30:57,2026-04-22 22:35:02,245,1,293,294
agot-daenerys-04,agot,6,ok,2026-04-22 22:31:56,2026-04-22 22:35:20,204,1,44,45
agot-catelyn-10,agot,5,ok,2026-04-22 22:32:21,2026-04-22 22:35:43,202,1,234,235
agot-bran-07,agot,3,ok,2026-04-22 22:32:41,2026-04-22 22:36:23,222,1,263,264
agot-arya-03,agot,1,ok,2026-04-22 22:34:17,2026-04-22 22:37:16,179,3,215,218
agot-arya-04,agot,1,ok,2026-04-22 22:37:16,2026-04-22 22:37:18,2,0,0,0
agot-bran-03,agot,2,ok,2026-04-22 22:35:02,2026-04-22 22:37:20,138,3,212,215
agot-catelyn-06,agot,4,ok,2026-04-22 22:34:48,2026-04-22 22:37:24,156,3,213,216
agot-daenerys-05,agot,6,ok,2026-04-22 22:35:20,2026-04-22 22:37:27,127,1,84,85
agot-bran-01,agot,2,ok,2026-04-22 22:45:28,2026-04-22 22:51:48,380,1,233,234
agot-arya-01,agot,1,ok,2026-04-22 22:45:27,2026-04-22 22:51:52,385,1,165,166
agot-catelyn-04,agot,4,ok,2026-04-22 22:45:28,2026-04-22 22:53:37,489,1,242,243
agot-bran-06,agot,3,ok,2026-04-22 22:45:28,2026-04-22 22:56:09,641,1,216,217
agot-bran-02,agot,2,ok,2026-04-22 22:51:48,2026-04-22 22:57:02,314,1,285,286
agot-arya-02,agot,1,ok,2026-04-22 22:51:52,2026-04-22 22:59:44,472,1,294,295
agot-bran-03,agot,2,ok,2026-04-22 22:57:03,2026-04-22 23:00:00,177,1,238,239
agot-catelyn-05,agot,4,ok,2026-04-22 22:53:37,2026-04-22 23:01:05,448,1,216,217
agot-bran-04,agot,2,ok,2026-04-22 23:00:00,2026-04-22 23:03:53,233,1,212,213
agot-arya-03,agot,1,ok,2026-04-22 22:59:44,2026-04-22 23:04:05,261,1,287,288
