chapter,book,wave,status,start_time,end_time,duration_s,input_tokens,cache_creation_tokens,cache_read_tokens,output_tokens,total_tokens,cost_usd
agot-sansa-03,agot,13,ok,2026-04-23 17:38:15,2026-04-23 17:41:11,176,5,29231,66462,8367,104065,0.42568775000000003
agot-tyrion-02,agot,14,ok,2026-04-23 17:38:15,2026-04-23 17:41:49,214,6,29715,95740,8355,133816,0.44305675
agot-eddard-08,agot,9,ok,2026-04-23 17:38:01,2026-04-23 17:41:50,229,13,30100,450025,8982,489120,0.6383325
agot-eddard-13,agot,10,ok,2026-04-23 17:38:01,2026-04-23 17:42:20,259,6,19065,114746,11240,145057,0.45814425000000003
agot-sansa-04,agot,13,ok,2026-04-23 17:41:11,2026-04-23 17:44:35,204,6,30575,96289,8629,135499,0.45555625000000005
agot-tyrion-03,agot,14,ok,2026-04-23 17:41:49,2026-04-23 17:45:21,212,6,39945,88694,8787,137432,0.51431125
agot-eddard-14,agot,10,ok,2026-04-23 17:42:20,2026-04-23 17:45:39,199,6,37004,85711,8901,131622,0.49729049999999997
agot-sansa-05,agot,13,ok,2026-04-23 17:44:35,2026-04-23 17:48:16,221,6,40208,87471,10265,137950,0.5522935
agot-eddard-15,agot,10,ok,2026-04-23 17:45:39,2026-04-23 17:49:31,232,5,31700,67161,10182,109048,0.48686050000000003
agot-eddard-09,agot,9,ok,2026-04-23 17:41:50,2026-04-23 17:49:38,468,9,40876,235560,19834,296279,0.869745
agot-tyrion-04,agot,14,ok,2026-04-23 17:45:21,2026-04-23 17:49:42,261,5,34933,70182,10413,115533,0.51435025
agot-sansa-06,agot,13,ok,2026-04-23 17:48:16,2026-04-23 17:51:29,193,6,38402,87663,8382,134453,0.49400200000000005
agot-jon-01,agot,10,ok,2026-04-23 17:49:31,2026-04-23 17:52:40,189,5,28729,66633,7757,103124,0.40739375
agot-eddard-10,agot,9,ok,2026-04-23 17:49:38,2026-04-23 17:53:16,218,6,29688,94023,8964,132681,0.4572965
agot-tyrion-05,agot,14,ok,2026-04-23 17:49:42,2026-04-23 17:53:26,224,5,33375,69698,9260,112338,0.47553075
agot-tyrion-01,agot,13,ok,2026-04-23 17:51:29,2026-04-23 17:54:34,185,6,27662,93908,8130,129706,0.4237095
agot-jon-02,agot,10,ok,2026-04-23 17:52:40,2026-04-23 17:55:01,141,6,33568,85273,5832,124679,0.3988375
agot-tyrion-06,agot,14,ok,2026-04-23 17:53:26,2026-04-23 17:56:35,189,5,29137,67291,7485,103918,0.40350474999999997
agot-eddard-11,agot,9,ok,2026-04-23 17:53:16,2026-04-23 17:56:48,212,5,30845,67333,9134,107317,0.45542775
agot-tyrion-07,agot,15,ok,2026-04-23 17:54:34,2026-04-23 17:58:26,232,5,31900,67667,9939,109511,0.48230649999999997
agot-jon-08,agot,12,ok,2026-04-23 17:55:02,2026-04-23 17:58:30,208,6,31933,97967,8364,138270,0.45828575000000005
agot-eddard-12,agot,9,ok,2026-04-23 17:56:48,2026-04-23 18:00:21,213,6,22302,103292,9112,134712,0.41944349999999997
agot-jon-09,agot,12,ok,2026-04-23 17:58:30,2026-04-23 18:02:03,213,6,32023,97929,8475,138433,0.4615742500000001
agot-tyrion-08,agot,15,ok,2026-04-23 17:58:26,2026-04-23 18:02:31,245,6,37081,101706,9769,148562,0.52746225
agot-jon-03,agot,11,ok,2026-04-23 18:00:22,2026-04-23 18:03:54,212,6,32535,98339,8367,139247,0.46229425
agot-prologue,agot,12,ok,2026-04-23 18:02:03,2026-04-23 18:05:26,203,5,29694,67644,7659,105002,0.4114635
agot-tyrion-09,agot,15,ok,2026-04-23 18:02:31,2026-04-23 18:05:59,208,5,30872,67306,9240,107423,0.458191
agot-jon-04,agot,11,ok,2026-04-23 18:03:54,2026-04-23 18:07:34,220,6,32001,97976,8428,138411,0.46031025000000003
agot-sansa-01,agot,12,ok,2026-04-23 18:05:26,2026-04-23 18:09:11,225,6,33312,98588,9135,141041,0.48650200000000005
agot-jon-05,agot,11,ok,2026-04-23 18:07:34,2026-04-23 18:10:24,170,6,27523,94927,6927,129383,0.39325825000000003
agot-sansa-02,agot,12,ok,2026-04-23 18:09:11,2026-04-23 18:13:31,260,6,42341,88872,11049,142268,0.58590025
agot-jon-06,agot,11,ok,2026-04-23 18:10:24,2026-04-23 18:13:32,188,6,36752,86559,7765,131082,0.46771549999999995
agot-jon-07,agot,11,ok,2026-04-23 18:13:32,2026-04-23 18:17:57,265,6,35686,99819,10267,145778,0.530228
agot-arya-01,agot,1,ok,2026-04-23 18:24:19,2026-04-23 18:25:37,78,6,32277,109789,2467,144539,0.31891375
agot-arya-02,agot,1,ok,2026-04-23 18:25:37,2026-04-23 18:29:36,239,8,43762,221844,10383,275997,0.6446475
agot-arya-03,agot,1,ok,2026-04-23 18:29:36,2026-04-23 18:38:35,539,8,55439,199529,21803,276779,0.99197125
agot-arya-04,agot,1,ok,2026-04-23 18:38:35,2026-04-23 18:47:13,518,8,68961,179308,20832,269109,1.04209825
agot-arya-05,agot,1,ok,2026-04-23 18:47:13,2026-04-23 18:52:49,336,5,33364,69060,10027,112456,0.49435799999999996
acok-arya-01,acok,1,ok,2026-04-23 22:14:20,2026-04-23 22:17:25,185,6,39347,80671,7323,127347,0.46993725000000003
acok-bran-06,acok,4,ok,2026-04-23 22:14:20,2026-04-23 22:18:16,236,6,44102,82869,9959,136936,0.56666
acok-arya-02,acok,1,ok,2026-04-23 22:17:25,2026-04-23 22:20:59,214,6,30260,95382,8502,134150,0.44999400000000006
acok-bran-07,acok,4,ok,2026-04-23 22:18:16,2026-04-23 22:22:44,268,6,33040,96566,10117,139729,0.508341
acok-arya-03,acok,1,ok,2026-04-23 22:20:59,2026-04-23 22:24:45,226,6,29003,93949,8665,131623,0.44548125000000005
acok-catelyn-01,acok,4,ok,2026-04-23 22:22:44,2026-04-23 22:27:20,276,6,35442,97431,11705,144584,0.563461
acok-arya-04,acok,1,ok,2026-04-23 22:24:45,2026-04-23 22:29:11,266,6,34477,98027,10095,142605,0.51747275
