chapter,book,wave,status,start_time,end_time,duration_s,input_tokens,cache_creation_tokens,cache_read_tokens,output_tokens,total_tokens,cost_usd
asos-arya-01,asos,1,ok,2026-05-01 19:33:59,2026-05-01 19:34:02,3,0,0,0,0,0,0
asos-arya-02,asos,1,ok,2026-05-01 19:34:03,2026-05-01 19:34:06,3,0,0,0,0,0,0
asos-arya-03,asos,1,ok,2026-05-01 19:34:06,2026-05-01 19:38:12,246,10161,54353,57442,10241,132197,2.0659535
asos-arya-04,asos,1,ok,2026-05-01 19:38:13,2026-05-01 19:38:16,3,0,0,0,0,0,0
asos-arya-05,asos,1,ok,2026-05-01 19:38:16,2026-05-01 19:38:20,4,0,0,0,0,0,0
asos-arya-01,asos,1,ok,2026-05-01 19:42:31,2026-05-01 19:48:09,338,5,59142,68311,14925,142383,0.777501
asos-arya-02,asos,1,ok,2026-05-01 19:48:09,2026-05-01 19:53:22,313,5,47206,85659,13193,146063,0.66831
asos-arya-03,asos,1,skip-done,,,,,,,,,
asos-arya-04,asos,1,ok,2026-05-01 19:53:22,2026-05-01 20:01:47,505,4096,53613,118505,21280,197494,0.94740675
asos-arya-05,asos,1,ok,2026-05-01 20:01:48,2026-05-01 20:05:31,223,6,40221,121036,9473,170736,0.54934725
asos-arya-06,asos,2,ok,2026-05-01 20:37:59,2026-05-01 20:46:51,532,5,55279,84404,22506,162194,0.95097375
asos-arya-07,asos,2,ok,2026-05-01 20:46:52,2026-05-01 20:55:28,516,5,54709,85369,21235,161318,0.9161087500000001
asos-arya-08,asos,2,ok,2026-05-01 20:55:28,2026-05-01 21:03:00,452,5,52382,84311,19893,156591,0.8674909999999999
asos-arya-09,asos,2,ok,2026-05-01 21:03:00,2026-05-01 21:07:59,299,5,43228,82765,12289,138287,0.6193855
asos-arya-10,asos,2,ok,2026-05-01 21:08:00,2026-05-01 21:12:40,280,5,40489,80277,12097,132868,0.5962227499999999
asos-arya-11,asos,3,ok,2026-05-02 14:01:15,2026-05-02 14:04:26,191,6,48795,103547,7850,160198,0.5536252500000001
asos-arya-12,asos,3,ok,2026-05-02 14:04:26,2026-05-02 14:09:34,308,5,43758,82540,13050,139353,0.6416355
asos-arya-13,asos,3,ok,2026-05-02 14:09:35,2026-05-02 14:15:08,333,5,48098,85236,14664,148003,0.7104485
asos-bran-01,asos,3,ok,2026-05-02 14:15:09,2026-05-02 14:21:07,358,5,46967,82931,15773,145676,0.72995225
asos-bran-02,asos,3,ok,2026-05-02 14:21:08,2026-05-02 14:27:54,406,5,49918,83900,17780,151603,0.7990555
asos-arya-11,asos,3,skip-done,,,,,,,,,
asos-arya-12,asos,3,skip-done,,,,,,,,,
asos-arya-13,asos,3,skip-done,,,,,,,,,
asos-bran-01,asos,3,skip-done,,,,,,,,,
asos-bran-02,asos,3,skip-done,,,,,,,,,
asos-bran-03,asos,4,ok,2026-05-02 16:43:27,2026-05-02 16:46:53,206,7,53230,152465,8776,214478,0.628948
asos-bran-04,asos,4,ok,2026-05-02 16:46:54,2026-05-02 16:52:42,348,5,50400,87793,14539,152737,0.7229944999999999
asos-catelyn-01,asos,4,ok,2026-05-02 16:52:43,2026-05-02 16:55:45,182,6,39270,121308,8530,169114,0.5199495
asos-catelyn-02,asos,4,ok,2026-05-02 16:55:45,2026-05-02 17:02:02,377,5,49598,84967,16500,151070,0.7655989999999999
asos-catelyn-03,asos,4,ok,2026-05-02 17:02:03,2026-05-02 17:05:46,223,4096,51868,108198,9849,174011,0.6455620000000001
asos-catelyn-04,asos,5,ok,2026-05-03 17:18:48,2026-05-03 17:22:29,221,6,56070,108596,9572,174244,0.6446485000000001
asos-catelyn-05,asos,5,ok,2026-05-03 17:22:30,2026-05-03 17:29:12,402,6,52445,124444,17922,194817,0.83867625
asos-catelyn-06,asos,5,ok,2026-05-03 17:29:13,2026-05-03 17:35:45,392,4096,51747,120157,17427,193427,0.84025525
asos-catelyn-07,asos,5,ok,2026-05-03 17:35:46,2026-05-03 17:42:34,408,6,49541,122087,17422,189056,0.8068527499999999
asos-daenerys-01,asos,5,ok,2026-05-03 17:42:34,2026-05-03 17:48:13,339,5,50080,86278,15356,151719,0.740644
asos-jaime-09,asos,10,ok,2026-05-05 16:57:26,2026-05-05 17:01:26,240,6,43551,122337,10550,176444,0.59774525
asos-davos-06,asos,8,ok,2026-05-05 16:57:26,2026-05-05 17:03:03,337,5,44670,81573,14460,140708,0.6820919999999999
asos-daenerys-02,asos,6,ok,2026-05-05 16:57:25,2026-05-05 17:04:55,450,5,54944,87605,18709,161263,0.8555324999999999
asos-jon-01,asos,10,ok,2026-05-05 17:01:26,2026-05-05 17:05:35,249,6,42949,122042,10325,175322,0.58816825
asos-epilogue,asos,8,ok,2026-05-05 17:03:04,2026-05-05 17:06:38,214,6,40858,121148,9162,171174,0.5455755
asos-daenerys-03,asos,6,ok,2026-05-05 17:04:56,2026-05-05 17:08:56,240,6,42814,122473,9844,175137,0.575524
asos-jon-02,asos,10,ok,2026-05-05 17:05:36,2026-05-05 17:10:52,316,5,48421,86453,13283,148162,0.67853875
asos-jaime-01,asos,8,ok,2026-05-05 17:06:39,2026-05-05 17:11:16,277,5,44794,84525,11635,140959,0.613718
asos-jaime-02,asos,8,ok,2026-05-05 17:11:17,2026-05-05 17:15:48,271,6,44472,122734,11435,178647,0.625815
asos-jon-03,asos,10,ok,2026-05-05 17:10:53,2026-05-05 17:16:07,314,5,41905,82734,10560,135204,0.56786425
asos-daenerys-04,asos,6,ok,2026-05-05 17:08:56,2026-05-05 17:16:22,446,5,55702,87383,19845,162935,0.8885789999999999
asos-jon-04,asos,10,ok,2026-05-05 17:16:07,2026-05-05 17:18:59,172,6,35305,118193,6895,160399,0.45273374999999993
asos-jaime-03,asos,8,ok,2026-05-05 17:15:48,2026-05-05 17:20:21,273,6,44019,121952,11974,177951,0.6360677499999999
asos-daenerys-05,asos,6,ok,2026-05-05 17:16:23,2026-05-05 17:20:33,250,6,45837,125464,10244,181551,0.6059282500000001
asos-jon-05,asos,11,ok,2026-05-05 17:19:02,2026-05-05 17:23:00,238,4096,41977,118761,9120,173954,0.5708077500000001
asos-jaime-04,asos,9,ok,2026-05-05 17:20:24,2026-05-05 17:24:18,234,6,41864,121642,10193,173705,0.577904
asos-daenerys-06,asos,6,ok,2026-05-05 17:20:34,2026-05-05 17:25:02,268,6,46694,125751,10968,183419,0.629528
asos-jon-06,asos,11,ok,2026-05-05 17:23:01,2026-05-05 17:27:55,294,5,43572,82286,12942,138805,0.637624
asos-jaime-05,asos,9,ok,2026-05-05 17:24:19,2026-05-05 17:28:09,230,6,43003,123241,9862,176112,0.57755225
asos-davos-01,asos,7,ok,2026-05-05 17:25:05,2026-05-05 17:28:43,218,5,38969,80666,9929,129569,0.53273225
asos-davos-02,asos,7,ok,2026-05-05 17:28:44,2026-05-05 17:31:56,192,6,41512,122860,8926,173304,0.5446529999999999
asos-jon-07,asos,11,ok,2026-05-05 17:27:55,2026-05-05 17:32:13,258,4096,44408,120468,10002,178974,0.6089000000000001
asos-jaime-06,asos,9,ok,2026-05-05 17:28:10,2026-05-05 17:32:21,251,6,45317,124862,10804,180989,0.61638525
