chapter,book,wave,status,start_time,end_time,duration_s,input_tokens,cache_creation_tokens,cache_read_tokens,output_tokens,total_tokens,cost_usd,last_heartbeat,terminal_id,retry_at
adwd-a-ghost-in-winterfell-01,ADWD,1,failed-stale,2026-05-05T06:07:52Z,,,,,,,,,2026-05-05T06:07:52Z,Mac-58102,
adwd-daenerys-05,ADWD,3,failed-stale,2026-05-05T06:07:52Z,,,,,,,,,2026-05-05T06:07:52Z,Mac-58150,
adwd-cersei-02,ADWD,2,failed-stale,2026-05-05T06:07:54Z,,,,,,,,,2026-05-05T06:07:54Z,Mac-58326,
adwd-daenerys-10,ADWD,4,failed-stale,2026-05-05T06:07:54Z,,,,,,,,,2026-05-05T06:07:54Z,Mac-58405,
adwd-a-ghost-in-winterfell-01,ADWD,1,failed-stale,,,,,,,,,,2026-05-05T06:08:22Z,Mac-58102,
adwd-daenerys-05,ADWD,3,failed-stale,,,,,,,,,,2026-05-05T06:08:22Z,Mac-58150,
adwd-cersei-02,ADWD,2,failed-stale,,,,,,,,,,2026-05-05T06:08:24Z,Mac-58326,
adwd-daenerys-10,ADWD,4,failed-stale,,,,,,,,,,2026-05-05T06:08:24Z,Mac-58405,
adwd-a-ghost-in-winterfell-01,ADWD,1,failed-stale,,,,,,,,,,2026-05-05T06:08:52Z,Mac-58102,
adwd-daenerys-05,ADWD,3,failed-stale,,,,,,,,,,2026-05-05T06:08:52Z,Mac-58150,
adwd-cersei-02,ADWD,2,failed-stale,,,,,,,,,,2026-05-05T06:08:54Z,Mac-58326,
adwd-daenerys-10,ADWD,4,failed-stale,,,,,,,,,,2026-05-05T06:08:54Z,Mac-58405,
adwd-bran-01,ADWD,1,failed-stale,2026-05-05T06:09:15Z,,,,,,,,,2026-05-05T06:09:15Z,Mac-59534,
adwd-daenerys-06,ADWD,3,failed-stale,2026-05-05T06:09:15Z,,,,,,,,,2026-05-05T06:09:15Z,Mac-59802,
adwd-daenerys-01,ADWD,2,failed-stale,2026-05-05T06:09:16Z,,,,,,,,,2026-05-05T06:09:16Z,Mac-59948,
adwd-davos-01,ADWD,4,failed-stale,2026-05-05T06:09:16Z,,,,,,,,,2026-05-05T06:09:16Z,Mac-60061,
adwd-a-ghost-in-winterfell-01,ADWD,1,failed-stale,,,,,,,,,,2026-05-05T06:09:22Z,Mac-58102,
adwd-daenerys-05,ADWD,3,failed-stale,,,,,,,,,,2026-05-05T06:09:22Z,Mac-58150,
adwd-cersei-02,ADWD,2,failed-stale,,,,,,,,,,2026-05-05T06:09:24Z,Mac-58326,
adwd-daenerys-10,ADWD,4,failed-stale,,,,,,,,,,2026-05-05T06:09:24Z,Mac-58405,
adwd-bran-01,ADWD,1,failed-stale,,,,,,,,,,2026-05-05T06:09:45Z,Mac-59534,
adwd-daenerys-06,ADWD,3,failed-stale,,,,,,,,,,2026-05-05T06:09:45Z,Mac-59802,
