chapter,book,wave,status,start_time,end_time,duration_s,input_tokens,cache_creation_tokens,cache_read_tokens,output_tokens,total_tokens,cost_usd
affc-the-soiled-knight-01,affc,10,ok,2026-05-01 13:31:15,2026-05-01 13:36:59,344,4096,63528,108107,14985,190716,0.8467944999999999
affc-cersei-03,affc,4,ok,2026-05-01 13:31:15,2026-05-01 13:37:32,377,5,64641,72463,16861,153970,0.86239075
affc-alayne-01,affc,1,ok,2026-05-01 13:31:15,2026-05-01 13:37:58,403,5,67059,74891,16748,158703,0.87585925
affc-prologue,affc,7,ok,2026-05-01 13:31:15,2026-05-01 13:40:22,547,6,70448,130740,21482,222676,1.0433089999999998
affc-alayne-02,affc,1,ok,2026-05-01 13:37:58,2026-05-01 13:43:23,325,6,54342,132834,12736,199918,0.7250944999999999
affc-cersei-04,affc,4,ok,2026-05-01 13:37:32,2026-05-01 13:44:11,399,6,54579,128367,17453,200405,0.8422402499999999
affc-samwell-01,affc,7,ok,2026-05-01 13:40:22,2026-05-01 13:46:33,371,4096,51263,123298,15235,193892,0.78399075
affc-arya-01,affc,1,ok,2026-05-01 13:43:23,2026-05-01 13:49:28,365,5,48645,85141,15731,149522,0.74047975
affc-cersei-05,affc,4,ok,2026-05-01 13:44:11,2026-05-01 13:50:42,391,4096,55296,125207,17264,201863,0.8608664999999999
affc-samwell-02,affc,7,ok,2026-05-01 13:46:33,2026-05-01 13:51:56,323,5,45841,84731,13321,143898,0.66249975
affc-arya-02,affc,1,ok,2026-05-01 13:49:28,2026-05-01 13:55:15,347,4096,75158,97330,13713,190297,0.8823105
affc-samwell-03,affc,7,ok,2026-05-01 13:51:56,2026-05-01 13:56:16,260,4096,44443,121493,10115,180147,0.6124532500000001
affc-cersei-06,affc,4,ok,2026-05-01 13:50:42,2026-05-01 13:58:53,491,5,85182,62362,22380,169929,1.1236715000000002
affc-brienne-01,affc,1,ok,2026-05-01 13:55:15,2026-05-01 14:00:18,303,4096,48118,122634,12751,187599,0.7019075
affc-cersei-07,affc,4,ok,2026-05-01 13:58:54,2026-05-01 14:04:23,329,4096,48981,121963,14321,189361,0.74617575
affc-samwell-04,affc,7,ok,2026-05-01 13:56:16,2026-05-01 14:09:40,804,4096,36184,129292,13051,182623,0.7046352499999999
affc-cersei-08,affc,5,ok,2026-05-01 14:34:37,2026-05-01 14:41:11,394,5,53300,89072,16425,158802,0.788909
affc-brienne-02,affc,2,ok,2026-05-01 14:34:37,2026-05-01 14:41:18,401,4096,52398,123043,16607,196144,0.825222
affc-samwell-05,affc,8,ok,2026-05-01 14:34:37,2026-05-01 14:42:01,444,5,52151,85998,18406,156560,0.82971575
affc-cersei-09,affc,5,ok,2026-05-01 14:41:11,2026-05-01 14:46:16,305,4096,48133,121482,14041,187752,0.73366025
affc-sansa-01,affc,8,ok,2026-05-01 14:42:01,2026-05-01 14:47:31,330,5,49039,87036,14254,150334,0.7069647499999999
affc-brienne-03,affc,2,ok,2026-05-01 14:41:18,2026-05-01 14:48:59,461,4096,56091,123492,19866,203545,0.9300227499999999
affc-cersei-10,affc,5,ok,2026-05-01 14:46:17,2026-05-01 14:51:45,328,5,50694,88341,14596,153636,0.7265109999999999
affc-the-captain-of-guards-01,affc,8,ok,2026-05-01 14:47:31,2026-05-01 14:52:13,282,4096,47237,123417,11031,185781,0.65378275
affc-brienne-04,affc,2,ok,2026-05-01 14:48:59,2026-05-01 14:55:00,361,4096,52915,125237,14962,197210,0.7884602500000001
affc-the-drowned-man-01,affc,8,ok,2026-05-01 14:52:13,2026-05-01 14:57:42,329,5,48010,86612,13595,148222,0.6838544999999999
affc-jaime-01,affc,5,ok,2026-05-01 14:51:45,2026-05-01 14:58:55,430,5,53852,87168,18997,160022,0.855702
affc-brienne-05,affc,2,ok,2026-05-01 14:55:00,2026-05-01 14:59:00,240,6,44575,125900,10007,180488,0.59234675
affc-the-iron-captain-01,affc,8,ok,2026-05-01 14:57:42,2026-05-01 15:02:23,281,4096,80966,85744,12445,183251,0.8810985
affc-jaime-02,affc,5,ok,2026-05-01 14:58:55,2026-05-01 15:04:05,310,4096,46801,120255,13765,184917,0.7178417500000001
affc-brienne-06,affc,2,ok,2026-05-01 14:59:00,2026-05-01 15:05:54,414,5,51123,85990,17372,154490,0.79743675
affc-the-krakens-daughter-01,affc,9,ok,2026-05-01 15:02:24,2026-05-01 15:08:13,349,5,49480,86385,15280,151150,0.7350555000000001
affc-brienne-07,affc,3,ok,2026-05-01 15:05:55,2026-05-01 15:11:58,363,5,50408,87805,14901,153119,0.7321054999999999
affc-jaime-03,affc,6,ok,2026-05-01 15:04:05,2026-05-01 15:12:51,526,4096,60274,125538,22003,211911,1.0106395000000001
affc-the-princess-in-the-tower-01,affc,9,ok,2026-05-01 15:08:14,2026-05-01 15:16:04,470,5,57929,89718,20448,168100,0.9187222500000001
affc-brienne-08,affc,3,ok,2026-05-01 15:11:58,2026-05-01 15:16:35,277,6,46433,126335,11418,184192,0.6394517499999999
affc-jaime-04,affc,6,ok,2026-05-01 15:12:51,2026-05-01 15:17:57,306,4096,48730,122987,12970,188783,0.711369
affc-the-prophet-01,affc,9,ok,2026-05-01 15:16:04,2026-05-01 15:21:39,335,4096,48962,121541,14704,189303,0.755423
affc-cat-of-the-canals-01,affc,3,ok,2026-05-01 15:16:35,2026-05-01 15:23:32,417,6,52485,139907,16483,208881,0.8106647499999999
affc-jaime-05,affc,6,ok,2026-05-01 15:17:57,2026-05-01 15:26:25,508,4096,58860,124237,21913,209106,0.9988815000000001
affc-the-queenmaker-01,affc,9,ok,2026-05-01 15:21:39,2026-05-01 15:27:19,340,5,49233,86872,14568,150678,0.71595125
affc-cersei-01,affc,3,ok,2026-05-01 15:23:32,2026-05-01 15:28:13,281,11152,44485,73197,12385,141219,0.6806077500000001
affc-jaime-06,affc,6,ok,2026-05-01 15:26:25,2026-05-01 15:30:38,253,4096,45353,121718,10853,182020,0.63672325
affc-the-reaver-01,affc,9,ok,2026-05-01 15:27:19,2026-05-01 15:34:07,408,5,54893,89892,17270,162060,0.82039925
affc-cersei-02,affc,3,ok,2026-05-01 15:28:13,2026-05-01 15:36:33,500,5,57347,88973,20690,167015,0.92075825
affc-jaime-07,affc,6,ok,2026-05-01 15:30:38,2026-05-01 15:36:48,370,6,50496,126054,15803,192359,0.774335
