# Option C prioritized batch order (Session 63, 2026-05-21)
# High-value: battles-*, houses-*, major characters-house-*, major locations, extractions-*, meta-chapters-*
# Generated by Session 63 scope-call script — DO NOT EDIT by hand; regenerate from manifest.
# Already-done Haiku batches excluded (12 skipped).
# Total queued: 222 high-value (Tier 1 first).
# Medium and low value batches NOT included — re-evaluate after Tier 1 finishes.

# === TIER 1: HIGH VALUE ===
batch-0019	characters-house-frey-e-m
batch-0020	characters-house-frey-t-z
batch-0031	characters-house-hightower-a-j
batch-0032	characters-house-hightower-a-j
batch-0033	characters-house-hightower-a-j
batch-0034	characters-house-hightower-a-j
batch-0035	characters-house-hightower-j-w
batch-0036	characters-house-hightower-j-w
batch-0037	characters-house-hightower-j-w
batch-0038	characters-house-hightower-j-w
batch-0048	characters-house-karstark
batch-0049	characters-house-karstark
batch-0052	characters-house-lannister-of-casterly-rock
batch-0062	characters-house-mallister
batch-0063	characters-house-mallister
batch-0064	characters-house-manderly
batch-0065	characters-house-manderly
batch-0066	characters-house-manderly
batch-0076	characters-house-mormont
batch-0077	characters-house-mormont
batch-0100	characters-house-payne
batch-0115	characters-house-redwyne
batch-0116	characters-house-redwyne
batch-0117	characters-house-reed
batch-0162	characters-house-tarly
batch-0163	characters-house-tarly
batch-0164	characters-house-tarth
batch-0165	characters-house-tarth
batch-0173	characters-house-umber
batch-0174	characters-house-umber
batch-0179	characters-house-velaryon
batch-0180	characters-house-velaryon
batch-0181	characters-house-velaryon
batch-0182	characters-house-velaryon
batch-0183	characters-house-velaryon
batch-0384	meta-chapters-acok
batch-0385	meta-chapters-acok
batch-0386	meta-chapters-acok
batch-0387	meta-chapters-acok
batch-0388	meta-chapters-acok
batch-0389	meta-chapters-acok
batch-0390	meta-chapters-acok
batch-0391	meta-chapters-acok
batch-0392	meta-chapters-acok
batch-0393	meta-chapters-acok
batch-0394	meta-chapters-acok
batch-0395	meta-chapters-acok
batch-0396	meta-chapters-acok
batch-0397	meta-chapters-acok
batch-0398	meta-chapters-adwd
batch-0399	meta-chapters-adwd
batch-0400	meta-chapters-adwd
batch-0401	meta-chapters-adwd
batch-0402	meta-chapters-adwd
batch-0403	meta-chapters-adwd
batch-0404	meta-chapters-adwd
batch-0405	meta-chapters-adwd
batch-0406	meta-chapters-adwd
batch-0407	meta-chapters-adwd
batch-0408	meta-chapters-adwd
batch-0409	meta-chapters-adwd
batch-0410	meta-chapters-adwd
batch-0411	meta-chapters-adwd
batch-0412	meta-chapters-adwd
batch-0413	meta-chapters-affc
batch-0414	meta-chapters-affc
batch-0415	meta-chapters-affc
batch-0416	meta-chapters-affc
batch-0417	meta-chapters-affc
batch-0418	meta-chapters-affc
batch-0419	meta-chapters-affc
batch-0420	meta-chapters-affc
batch-0421	meta-chapters-affc
batch-0422	meta-chapters-agot
batch-0423	meta-chapters-agot
batch-0424	meta-chapters-agot
batch-0425	meta-chapters-agot
batch-0426	meta-chapters-agot
batch-0427	meta-chapters-agot
batch-0428	meta-chapters-agot
batch-0429	meta-chapters-agot
batch-0430	meta-chapters-agot
batch-0431	meta-chapters-agot
batch-0432	meta-chapters-agot
batch-0433	meta-chapters-agot
batch-0434	meta-chapters-agot
batch-0435	meta-chapters-agot
batch-0436	meta-chapters-agot
batch-0437	meta-chapters-asos
batch-0438	meta-chapters-asos
batch-0439	meta-chapters-asos
batch-0440	meta-chapters-asos
batch-0441	meta-chapters-asos
batch-0442	meta-chapters-asos
batch-0443	meta-chapters-asos
batch-0444	meta-chapters-asos
batch-0445	meta-chapters-asos
batch-0446	meta-chapters-asos
batch-0447	meta-chapters-asos
batch-0448	meta-chapters-asos
batch-0449	meta-chapters-asos
batch-0450	meta-chapters-asos
batch-0451	meta-chapters-asos
batch-0452	meta-chapters-asos
batch-0453	extractions-pass1
batch-0454	extractions-pass1
batch-0455	extractions-pass1
batch-0456	extractions-pass1
batch-0457	extractions-pass1
batch-0458	extractions-pass1
batch-0459	extractions-pass1
batch-0460	extractions-pass1
batch-0461	extractions-pass1
batch-0462	extractions-pass1
batch-0463	extractions-pass1
batch-0464	extractions-pass1
batch-0465	extractions-pass1
batch-0466	extractions-pass1
batch-0467	extractions-pass1
batch-0468	extractions-pass1
batch-0469	extractions-pass1
batch-0470	extractions-pass1
batch-0471	extractions-pass1
batch-0472	extractions-pass1
batch-0473	extractions-pass1
batch-0474	extractions-pass1
batch-0475	extractions-pass1
batch-0476	extractions-pass1
batch-0477	extractions-pass1
batch-0478	extractions-pass1
batch-0479	extractions-pass1
batch-0480	extractions-pass1
batch-0481	extractions-pass1
batch-0482	extractions-pass1
batch-0483	extractions-pass1
batch-0484	extractions-pass1
batch-0485	extractions-pass1
batch-0486	extractions-pass1
batch-0487	extractions-pass1
batch-0488	extractions-pass1
batch-0489	extractions-pass1
batch-0490	extractions-pass1
batch-0491	extractions-pass1
batch-0492	extractions-pass1
batch-0493	extractions-pass1
batch-0494	extractions-pass1
batch-0495	extractions-pass1
batch-0496	extractions-pass1
batch-0497	extractions-pass1
batch-0498	extractions-pass1
batch-0499	extractions-pass1
batch-0500	extractions-pass1
batch-0501	extractions-pass1
batch-0502	extractions-pass1
batch-0503	extractions-pass1
batch-0504	extractions-pass1
batch-0505	extractions-pass1
batch-0506	extractions-pass1
batch-0507	extractions-pass1
batch-0508	battles-a-b
batch-0509	battles-a-b
batch-0510	battles-a-b
batch-0511	battles-a-b
batch-0512	battles-a-b
batch-0513	battles-a-b
batch-0514	battles-a
batch-0515	battles-a
batch-0516	battles-a
batch-0517	battles-b-d
batch-0518	battles-b-d
batch-0519	battles-b-d
batch-0520	battles-b-d
batch-0521	battles-b
batch-0522	battles-b
batch-0523	battles-b
batch-0524	battles-d-f
batch-0525	battles-d-f
batch-0526	battles-d-f
batch-0527	battles-d-f
batch-0528	battles-d-f
batch-0529	battles-d-f
batch-0530	battles-f-p
batch-0531	battles-f-p
batch-0532	battles-f-p
batch-0533	battles-f-p
batch-0534	battles-f-p
batch-0535	battles-p-s
batch-0536	battles-p-s
batch-0537	battles-p-s
batch-0538	battles-p-s
batch-0539	battles-p-s
batch-0540	battles-p-s
batch-0541	battles-s-t
batch-0542	battles-s-t
batch-0543	battles-s-t
batch-0544	battles-s-t
batch-0545	battles-t-y
batch-0546	battles-t-y
batch-0547	battles-t-y
batch-0548	battles-t-y
batch-0549	battles-t-y
batch-0550	houses-braavos
batch-0551	houses-essos
batch-0552	houses-major-recovery
batch-0553	houses-major-recovery
batch-0554	houses-major-recovery
batch-0555	houses-major-recovery
batch-0556	houses-major-recovery
